branch,date,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P1,2025-01-12,144,10733.3105820106,1200,72341.0337572093,0,24000.244615575,96341.2783727843,77887.0290166667,77887.0290166667,4.2564285714285,8583.42723095239,4399.68858095238,0,0,0,0
Q42/M0_P1,2025-01-13,144,1200,1200,71641.0132039324,0,52174.1551097155,123815.168313648,77862.7687452381,77862.7687452381,11.8376190476189,9.58847142857137,10413.4373690476,0,0,0,0
Q42/M0_P1,2025-01-14,144,1200,1200,71547.2618426421,0,60123.4622561946,131670.724098837,77525.8367261905,77525.8367261905,7.07416666666671,5.73007499999992,11755.8202988095,0,0,0,0
Q42/M0_P1,2025-01-15,144,1200,1200,71307.4231522405,0,68698.2346262256,140005.657778466,77108.8427619048,77108.8427619048,26.8623928571428,21.7585382142855,12966.6040260714,0,0,0,0
Q42/M0_P1,2025-01-16,144,1200,1293.82521428571,71027.3789956817,0,62702.7011399518,133730.080135633,77164.6689642857,77164.6689642857,120.54325952381,13.1973473571428,12016.828397881,0,0,0,0
Q42/M0_P1,2025-01-17,144,1293.82521428571,10800,56674.3302740548,0,0,56674.3302740548,76931.7210190476,76931.7210190476,10562.4164285714,0,0,23680.1911238095,0,0,0
Q42/M0_P1,2025-01-18,144,10800,10702.7267195767,56256.2838101329,0,0,56256.2838101329,76583.3699,76583.3699,0,87.5459523809524,0,33428.4068357143,0,0,0
Q42/M0_P1,2025-01-19,144,10702.7267195767,1200,70045.5861944733,0,21144.5220465458,91190.1082410191,76353.4446166667,76353.4446166667,19.0979214285715,8567.92336397619,3780.86940745239,0,0,0,0
Q42/M0_P1,2025-01-20,144,1200,1200,69804.3862685374,0,62758.0842103024,132562.47047884,76121.0649309524,76121.0649309524,10.6061904761905,8.59101428571437,11948.0267952381,0,0,0,0
Q42/M0_P1,2025-01-21,144,1200,1200,69147.4752098352,0,37439.8624792154,106587.337689051,76094.7079333333,76094.7079333333,1139.57118809524,923.052662357143,7597.7152757381,0,0,0,0
Q42/M0_P1,2025-01-22,144,1200,1200,69141.5870714136,0,70131.1204945072,139272.707565921,75385.6655880952,75385.6655880952,1.08285714285716,0.877114285714242,13513.3045214286,0,0,0,0
Q42/M0_P1,2025-01-23,144,1200,1308.46970357143,69033.4617541836,0,74215.1346118532,143248.596366037,75221.7749976191,75221.7749976191,143.246738095238,18.4071246428572,14468.9902158333,0,0,0,0
Q42/M0_P1,2025-01-24,144,1308.46970357143,10800,54694.4952474583,0,0,54694.4952474583,75202.5788452381,75202.5788452381,10546.1447738095,0,0,24827.0209214286,0,0,0
Q42/M0_P1,2025-01-25,144,10800,10789.2923280423,54548.1297287121,0,0,54548.1297287121,74937.9405214286,74937.9405214286,0,9.6369047619047,0,36508.0019595238,0,0,0
Q42/M0_P1,2025-01-26,144,10789.2923280423,1200,67930.2259883517,0,24858.565027144,92788.7910154957,74450.6763666667,74450.6763666667,15.3892857142857,8642.82841666667,4620.87453571428,0,0,0,0
Q42/M0_P1,2025-01-27,144,1200,1200,67136.3706425233,0,49774.2529493966,116910.62359192,74213.407802381,74213.407802381,205.527735714286,166.477465928572,10020.5592507381,0,0,0,0
Q42/M0_P1,2025-01-28,144,1200,1200,66201.1466497557,0,67689.507788957,133890.654438713,73724.789897619,73724.789897619,30.6625857142856,24.8366944285713,13261.4353603333,0,0,0,0
Q42/M0_P1,2025-01-29,144,1200,1200,65906.8803495605,0,36522.3833397621,102429.263689323,73968.9248095238,73968.9248095238,327.973197619047,265.658290071429,7478.59114802381,0,0,0,0
Q42/M0_P1,2025-01-30,144,1200,1293.83907642857,65885.2648054469,0,57544.6833271645,123429.948132611,73039.3376309524,73039.3376309524,364.980028571428,211.178654357143,10857.0465265952,0,0,0,0
Q42/M0_P1,2025-01-31,144,1293.83907642857,10800,52295.1882423752,0,0,52295.1882423752,72516.0167738095,72516.0167738095,10562.4010261905,0,0,23189.2926976191,0,0,0
Q42/M0_P1,2025-02-01,144,10800,2660.29581889862,16939.0678280437,0,0,16939.0678280437,37878.8601771617,37878.8601771617,11376.4547822996,16540.6621366539,0,8664.89159818274,0,0,0
Q42/M0_P1,2025-02-02,144,2660.29581889862,2617.34334183822,64337.0480247543,0,0,64337.0480247543,91298.6381703022,91298.6381703022,22502.3956592246,18265.5977133263,0,8705.56227440386,0,0,0
Q42/M0_P1,2025-02-03,144,2617.34334183822,1839.80492190732,62612.2776059665,0,0,62612.2776059665,87724.8124940336,87724.8124940336,22225.3607489141,18702.3267845582,0,3984.86202967777,0,0,0
Q42/M0_P1,2025-02-04,144,1839.80492190732,1935.20706094782,63321.0543244349,0,0,63321.0543244349,89200.7614544306,89200.7614544306,24971.6869842551,20141.2045321102,0,3175.41505228566,0,0,0
Q42/M0_P1,2025-02-05,144,1935.20706094782,1845.84823934362,62591.9145562404,0,124.745205202278,62716.6597614427,87831.6759023008,87831.6759023008,23642.1909295466,19230.5975923766,18.0163496825936,2689.67193147999,0,0,0
Q42/M0_P1,2025-02-06,144,1845.84823934362,1722.49293619538,63361.2641930383,0,264.592458952503,63625.8566519908,89046.8656525748,89046.8656525748,23648.7781332107,19266.5300607341,37.0784117165053,4430.638775148,0,0,0
Q42/M0_P1,2025-02-07,144,1722.49293619538,1296.10058484637,17636.8295944284,0,0,17636.8295944284,42435.2002574582,42435.2002574582,21034.2231591825,17421.4738751519,0,7016.77130676095,0,0,0
Q42/M0_P1,2025-02-08,144,1296.10058484637,1247.06138477353,16130.4602374631,0,297.257216077657,16427.7174535408,38943.0207721351,38943.0207721351,21356.0560795734,17342.54070452,60.0470257037677,3412.38970611876,0,0,0
Q42/M0_P1,2025-02-09,144,1247.06138477353,1622.98205175184,60810.1322748325,0,0,60810.1322748325,86566.1420840855,86566.1420840855,23710.2386505322,18866.9647066506,0,2167.45217353724,0,0,0
Q42/M0_P1,2025-02-10,144,1622.98205175184,1655.88894729341,59861.5433045708,0,0,59861.5433045708,87064.8071874056,87064.8071874056,20695.5792626127,16733.8029967288,0,8776.39333818847,0,0,0
Q42/M0_P1,2025-02-11,144,1655.88894729341,1439.47697883701,59208.2392229007,0,135.105521078482,59343.3447439792,85747.6596943856,85747.6596943856,22464.8120091736,18391.2684990413,26.1421688821252,6479.66121980218,0,0,0
Q42/M0_P1,2025-02-12,144,1439.47697883701,1336.7758875212,56609.1762634512,0,891.715193162679,57500.8914566138,83503.9574886519,83503.9574886519,25261.0742877889,20553.9011552932,143.664889844114,3673.71311266699,0,0,0
Q42/M0_P1,2025-02-13,144,1336.7758875212,1776.79109547243,56887.7076939494,0,0,56887.7076939494,83827.3041553135,83827.3041553135,21874.5559169145,17322.3766055446,0,7945.64582727697,0,0,0
Q42/M0_P1,2025-02-14,144,1776.79109547243,1200,14684.074304137,0,656.431125562185,15340.5054296992,35328.3911129379,35328.3911129379,20872.176305046,17425.5747930124,224.800203253455,2304.78798749109,0,0,0
Q42/M0_P1,2025-02-15,144,1200,1200,15147.7442484773,0,2011.88143499622,17159.6256834735,35302.3009138809,35302.3009138809,19911.6544779801,16128.4401271639,547.810990895616,2786.80645396029,0,0,0
Q42/M0_P1,2025-02-16,144,1200,1520.83236384385,54021.8437323377,0,4725.45383467821,58747.2975670159,80065.782637259,80065.782637259,24249.1220228291,19353.0397110321,893.218922620197,685.540148082242,0,0,0
Q42/M0_P1,2025-02-17,144,1520.83236384385,1505.22260417447,54920.9170283972,0,0,54920.9170283972,81131.6312837501,81131.6312837501,20928.3148720567,16965.9838300684,0,5985.43707509514,0,0,0
Q42/M0_P1,2025-02-18,144,1505.22260417447,1735.54656359214,53269.622860373,0,29.5834344361733,53299.2062948091,79651.4994939222,79651.4994939222,22154.4422845648,17737.8066870216,5.80522653771061,3149.28133958333,0,0,0
Q42/M0_P1,2025-02-19,144,1735.54656359214,1345.90555888884,52662.8338053542,0,453.038722099137,53115.8725274533,79158.0190055039,79158.0190055039,23435.4563618842,19333.3965573592,83.9601900430864,2260.59200768863,0,0,0
Q42/M0_P1,2025-02-20,144,1345.90555888884,1796.92557184724,53394.002526562,0,131.495216942362,53525.4977435044,79754.9790865299,79754.9790865299,24184.5655720941,19183.5801017337,23.4373437202321,3784.29722655634,0,0,0
Q42/M0_P1,2025-02-21,144,1796.92557184724,1645.16846568351,14961.5434464399,0,0,14961.5434464399,35032.6617230231,35032.6617230231,20011.1413136378,16345.605859594,0,5806.86423564591,0,0,0
Q42/M0_P1,2025-02-22,144,1645.16846568351,1821.79752263552,15275.6301980961,0,0,15275.6301980961,35464.3006609205,35464.3006609205,19648.0442352,15755.9496792552,0,3727.44322164236,0,0,0
Q42/M0_P1,2025-02-23,144,1821.79752263552,1960.20371120008,52976.2520377248,0,47.5316035775836,53023.7836413024,79697.3968306253,79697.3968306253,24263.2243700871,19528.6461700625,9.1937337674243,3440.15868103472,0,0,0
Q42/M0_P1,2025-02-24,144,1960.20371120008,1800.24506887334,51300.5206797396,0,129.036982197611,51429.5576619372,77260.125765867,77260.125765867,21711.2440366938,17730.0704478161,25.2543266851181,5101.17288700764,0,0,0
Q42/M0_P1,2025-02-25,144,1800.24506887334,1852.83399423858,50413.8843661022,0,105.376825553361,50519.2611916555,77076.4179716017,77076.4179716017,20018.8874389513,16167.9687927219,20.5332863510056,7424.70937838994,0,0,0
Q42/M0_P1,2025-02-26,144,1852.83399423858,2027.49047015129,50089.9060295116,0,0,50089.9060295116,76210.545260827,76210.545260827,24040.1817529964,19315.3563916056,0,2670.87186610294,0,0,0
Q42/M0_P1,2025-02-27,144,2027.49047015129,2058.73122609861,47751.5824308809,0,3607.29127313142,51358.8737040124,74863.1489489989,74863.1489489989,23634.2979543461,19115.6646626677,677.701887831274,4065.63334515179,0,0,0
Q42/M0_P1,2025-02-28,144,2058.73122609861,1957.26420164545,14547.3412345927,0,0,14547.3412345927,34536.3088912684,34536.3088912684,18329.6322691742,14938.322460039,0,7852.4055321332,0,0,0
Q42/M0_P1,2025-03-01,144,1957.26420164545,2276.22266218744,14849.2337677553,0,0,14849.2337677553,35261.9787927624,35261.9787927624,17565.4035909834,13940.9142942088,0,7978.7235626544,0,0,0
Q42/M0_P1,2025-03-02,144,2276.22266218744,1864.98400919656,51813.8505877141,0,5983.97580673224,57797.8263944463,77946.6751279654,77946.6751279654,21001.160085033,17381.0544565686,952.56096911138,2920.82340194562,0,0,0
Q42/M0_P1,2025-03-03,144,1864.98400919656,1479.23752922843,50369.646848285,0,6019.77040871794,56389.4172570029,76654.1555739944,76654.1555739944,23860.1837970696,19673.9207075977,1043.44663048654,1494.19248167567,0,0,0
Q42/M0_P1,2025-03-04,144,1479.23752922843,1895.74430388328,52197.9546081108,0,0,52197.9546081108,79021.3462031217,79021.3462031217,20569.2375425984,16286.2263123154,0,5538.8770395053,0,0,0
Q42/M0_P1,2025-03-05,144,1895.74430388328,2010.50230242231,50623.5503647506,0,0,50623.5503647506,78576.9406112375,78576.9406112375,20854.2240201533,16788.639257639,0,8380.88383205659,0,0,0
Q42/M0_P1,2025-03-06,144,2010.50230242231,1359.3277742793,47517.8691387571,0,0,47517.8691387571,73849.1915476943,73849.1915476943,20482.8009805824,17177.1258696004,0,4602.86230337904,0,0,0
Q42/M0_P1,2025-03-07,144,1359.3277742793,1651.05610094151,13558.402348632,0,0,13558.402348632,32744.7928859753,32744.7928859753,16824.5026371051,13365.2916420591,0,8363.29635759601,0,0,0
Q42/M0_P1,2025-03-08,144,1651.05610094151,1478.76479294627,12964.5174714298,0,628.434409423993,13592.9518808538,31485.3407478614,31485.3407478614,18878.6550566042,15446.7727730451,200.096274487803,9190.41522212341,0,0,0
Q42/M0_P1,2025-03-09,144,1478.76479294627,2024.80363080441,46865.9417603924,0,0,46865.9417603924,74645.9991063765,74645.9991063765,23642.6021190569,18659.0727623638,0,6328.94469968334,0,0,0
Q42/M0_P1,2025-03-10,144,2024.80363080441,1494.32611293276,46719.122697206,0,2354.13385942582,49073.2565566318,71561.8361319331,71561.8361319331,21996.4678024932,18294.568686104,366.060310904341,183.925876448223,0,0,0
Q42/M0_P1,2025-03-11,144,1494.32611293276,2157.92599537068,47675.3105840256,0,0,47675.3105840256,74792.6842313096,74792.6842313096,21589.0129291903,16889.86057845,0,6154.61308056932,0,0,0
Q42/M0_P1,2025-03-12,144,2157.92599537068,1551.6087826854,45467.8157220985,0,0,45467.8157220985,71957.6409499004,71957.6409499004,20758.803083862,17360.315989345,0,6123.61917205007,0,0,0
Q42/M0_P1,2025-03-13,144,1551.6087826854,1472.55103874036,45519.6167368522,0,7814.41080031573,53334.0275371679,70909.5664889432,70909.5664889432,21647.6921894098,17605.7826429724,1296.77859344666,618.817519285918,0,0,0
Q42/M0_P1,2025-03-14,144,1472.55103874036,1942.79220351433,12877.7524498028,0,0,12877.7524498028,31570.6196091554,31570.6196091554,17812.0163034544,14004.5161575015,0,11733.6934798692,0,0,0
Q42/M0_P1,2025-03-15,144,1942.79220351433,1332.6022647185,12787.3837748539,0,1431.65718553815,14219.0409603921,30632.9072323605,30632.9072323605,17963.9871669481,15100.0005501442,461.535289010172,7306.33075456678,0,0,0
Q42/M0_P1,2025-03-16,144,1332.6022647185,2363.69494742494,45971.071547585,0,8.08109999999993,45979.152647585,73174.061498377,73174.061498377,22208.4676947376,17060.8754183016,1.63999999999999,4677.06228860774,0,0,0
Q42/M0_P1,2025-03-17,144,2363.69494742494,2260.6229375179,44518.804310836,0,0,44518.804310836,72283.6022631163,72283.6022631163,19491.62656323,15880.9823251326,0,10814.8265916856,0,0,0
Q42/M0_P1,2025-03-18,144,2260.6229375179,1666.58805247989,42090.4217008186,0,3470.76613182869,45561.1878326473,68019.1507930818,68019.1507930818,21832.1917335241,18218.7067006887,663.430019736414,3943.13741331621,0,0,0
Q42/M0_P1,2025-03-19,144,1666.58805247989,2284.1630424218,42077.6145930902,0,1732.67877127386,43810.2933643641,68590.0022011064,68590.0022011064,22783.5829416964,17898.8846918263,341.620186084723,4581.45368732108,0,0,0
Q42/M0_P1,2025-03-20,144,2284.1630424218,1815.77819458915,42281.3654286081,0,0,42281.3654286081,67453.059184321,67453.059184321,22085.2412214467,18310.5917524212,0,1469.4478986288,0,0,0
Q42/M0_P1,2025-03-21,144,1815.77819458915,1506.14867627245,12293.5294083922,0,592.578600898769,12886.108009291,30087.1727682141,30087.1727682141,18372.2395035886,15160.1805643918,204.778431295243,15046.4277436459,0,0,0
Q42/M0_P1,2025-03-22,144,1506.14867627245,2122.57384404223,12569.9396082481,0,0,12569.9396082481,30952.7401817665,30952.7401817665,17136.412239181,13325.7112627438,0,11260.8394719959,0,0,0
Q42/M0_P1,2025-03-23,144,2122.57384404223,2071.21871046126,41603.349983277,0,0,41603.349983277,68031.5535000028,68031.5535000028,21567.9463349847,17516.2561515605,0,5210.14319991185,0,0,0
Q42/M0_P1,2025-03-24,144,2071.21871046126,2122.07694231286,40832.4284447025,0,0,40832.4284447025,66408.8132535056,66408.8132535056,21066.2639909709,17017.90142402,0,4361.95360322136,0,0,0
Q42/M0_P1,2025-03-25,144,2122.07694231286,1653.11417028604,40745.7652024956,0,0,40745.7652024956,66166.5294868349,66166.5294868349,21128.3228454232,17536.0079996169,0,1624.08992436191,0,0,0
Q42/M0_P1,2025-03-26,144,1653.11417028604,2047.74988076671,40409.4336406336,0,0,40409.4336406336,66691.1789649277,66691.1789649277,21287.0746054459,16887.3582909786,0,6698.90778379369,0,0,0
Q42/M0_P1,2025-03-27,144,2047.74988076671,1936.64701458219,40567.9039046787,0,0,40567.9039046787,66602.7032488319,66602.7032488319,21259.1959907197,17319.941332049,0,3946.45919016126,0,0,0
Q42/M0_P1,2025-03-28,144,1936.64701458219,1893.38895551226,12104.3912949542,0,0,12104.3912949542,29858.5947652069,29858.5947652069,17490.7288894191,14206.4226535924,0,15752.4077627135,0,0,0
Q42/M0_P1,2025-03-29,144,1893.38895551226,2143.27524529821,12325.9207822114,0,0,12325.9207822114,30600.5907803137,30600.5907803137,18051.9211513137,14397.1584717568,0,19238.6189174234,0,0,0
Q42/M0_P1,2025-03-30,144,2143.27524529821,2133.49473215043,38028.3023926079,0,0,38028.3023926079,63486.1855991926,63486.1855991926,21169.6926709859,17156.2535253316,0,4127.12675353829,0,0,0
Q42/M0_P1,2025-03-31,144,2133.49473215043,1685.28105966213,37945.4293114888,0,493.433720494218,38438.863031983,62517.7372429675,62517.7372429675,20621.0912327596,17106.4762037748,73.7624217795378,2125.49515242883,0,0,0
Q42/M0_P1,2025-04-01,144,1685.28105966213,1769.36129456121,39658.3143207083,0,4836.89778690658,44495.2121076149,63477.2318565236,63477.2318565236,19086.9012976078,15384.7178396532,734.338616429458,300.535498331752,0,0,0
Q42/M0_P1,2025-04-02,144,1769.36129456121,1876.91548548205,38937.88759303,0,8526.2078567587,47464.0954497887,63814.1656862863,63814.1656862863,21357.8546320476,17203.0634801298,1588.28962571817,812.328760086674,0,0,0
Q42/M0_P1,2025-04-03,144,1876.91548548205,1988.55703528973,40490.5177865945,0,0,40490.5177865945,66550.9399990033,66550.9399990033,21569.8676906339,17371.1154345865,0,6488.65747628926,0,0,0
Q42/M0_P1,2025-04-04,144,1988.55703528973,2006.28233768864,11705.6673295477,0,0,11705.6673295477,29464.029387748,29464.029387748,17272.0758717462,13974.4286839554,0,19735.5799499573,0,0,0
Q42/M0_P1,2025-04-05,144,2006.28233768864,1859.81141073445,11799.7689794974,0,0,11799.7689794974,29260.9075119627,29260.9075119627,14684.7838115002,12026.4987215739,0,14558.5074387031,0,0,0
Q42/M0_P1,2025-04-06,144,1859.81141073445,2100.79995719335,40023.236068684,0,0,40023.236068684,65865.8209150517,65865.8209150517,20702.6530920785,16552.2593127706,0,7305.35086907709,0,0,0
Q42/M0_P1,2025-04-07,144,2100.79995719335,1860.8734106181,38544.6348005092,0,0,38544.6348005092,64273.0457807814,64273.0457807814,19836.8281412167,16283.7646863033,0,7477.26304253458,0,0,0
Q42/M0_P1,2025-04-08,144,1860.8734106181,1842.80491206875,38933.4927708297,0,0,38933.4927708297,65281.2634429636,65281.2634429636,21716.8674166351,17606.9242561689,0,6818.12666583072,0,0,0
Q42/M0_P1,2025-04-09,144,1842.80491206875,1559.94507862531,38334.9973157246,0,1857.40912553934,40192.4064412639,63734.1816273464,63734.1816273464,20903.6442324374,17186.5256783734,281.431027786668,1164.18308440241,0,0,0
Q42/M0_P1,2025-04-10,144,1559.94507862531,2069.41537222908,38726.9412588093,0,0,38726.9412588093,64689.1341630178,64689.1341630178,21739.001487966,17150.067941009,0,5639.56271606083,0,0,0
Q42/M0_P1,2025-04-11,144,2069.41537222908,1758.03400837695,11362.4970311658,0,0,11362.4970311658,28130.1242423045,28130.1242423045,14084.2850722714,11688.5141360067,0,20417.7031393732,0,0,0
Q42/M0_P1,2025-04-12,144,1758.03400837695,2180.50678539482,11443.9292273674,0,0,11443.9292273674,29256.4654975606,29256.4654975606,14264.4628364199,11173.989398184,0,17140.8315093248,0,0,0
Q42/M0_P1,2025-04-13,144,2180.50678539482,1995.16149097262,37838.5696070775,0,0,37838.5696070775,62474.0180346482,62474.0180346482,20031.4050018548,16392.2488164824,0,4558.50336594244,0,0,0
Q42/M0_P1,2025-04-14,144,1995.16149097262,1724.76612232564,36961.0545260548,0,0,36961.0545260548,62093.2904405796,62093.2904405796,21153.3359924898,17377.557985699,0,5789.4806337888,0,0,0
Q42/M0_P1,2025-04-15,144,1724.76612232564,2140.4603286092,37092.4956869327,0,0,37092.4956869327,63087.581676374,63087.581676374,19699.0302531658,15582.0897194091,0,8831.21230928391,0,0,0
Q42/M0_P1,2025-04-16,144,2140.4603286092,2096.97769597985,37886.4827799084,0,0,37886.4827799084,62524.6640872603,62524.6640872603,20061.1043548996,16288.6288968351,0,2972.59667919584,0,0,0
Q42/M0_P1,2025-04-17,144,2096.97769597985,2195.57491135626,36687.823387153,0,0,36687.823387153,61503.4591689959,61503.4591689959,19767.746816631,15923.1374276324,0,4790.50742999729,0,0,0
Q42/M0_P1,2025-04-18,144,2195.57491135626,2305.30121501393,11113.7045904171,0,0,11113.7045904171,28160.2899699891,28160.2899699891,17098.0805949318,13750.6916086029,0,18458.7838003268,0,0,0
Q42/M0_P1,2025-04-19,144,2305.30121501393,2231.58505519136,11112.0510631702,0,0,11112.0510631702,27905.8689234953,27905.8689234953,16284.9814902866,13257.1795509725,0,18093.3877341812,0,0,0
Q42/M0_P1,2025-04-20,144,2231.58505519136,2221.29483015869,36129.7355049379,0,0,36129.7355049379,60808.1781503043,60808.1781503043,21846.4265504265,17704.8667083749,0,4708.87342491935,0,0,0
Q42/M0_P1,2025-04-21,144,2221.29483015869,1829.31278655877,35500.3956477548,0,0,35500.3956477548,60442.1963883351,60442.1963883351,18792.8959994927,15575.0295988291,0,8707.41960433804,0,0,0
Q42/M0_P1,2025-04-22,144,1829.31278655877,1869.59676804447,35231.027368533,0,0,35231.027368533,58496.0503385987,58496.0503385987,19587.9967536077,15830.0217870851,0,2585.14605540949,0,0,0
Q42/M0_P1,2025-04-23,144,1869.59676804447,2253.05421546679,36871.0348326943,0,0,36871.0348326943,61036.5461847242,61036.5461847242,18742.7730527488,14836.5344700464,0,5730.39088535512,0,0,0
Q42/M0_P1,2025-04-24,144,2253.05421546679,1929.96236381696,35301.8159565421,0,0,35301.8159565421,59192.3993789121,59192.3993789121,18531.3489355785,15301.1753043034,0,8872.11904763703,0,0,0
Q42/M0_P1,2025-04-25,144,1929.96236381696,1652.74555950983,10179.9213245686,0,0,10179.9213245686,26589.5926463553,26589.5926463553,14440.6771925699,11946.4436498581,0,22095.0014536434,0,0,0
Q42/M0_P1,2025-04-26,144,1652.74555950983,1533.18933914959,10346.3520838511,0,0,10346.3520838511,26633.8365388924,26633.8365388924,14711.9174336953,12024.2537196174,0,23875.9791914812,0,0,0
Q42/M0_P1,2025-04-27,144,1533.18933914959,1442.63160352964,32459.2645760814,0,4987.63192058135,37446.8964966627,55054.1290932101,55054.1290932101,19913.4218012987,16211.3736211099,834.206659606435,3612.81638929443,0,0,0
Q42/M0_P1,2025-04-28,144,1442.63160352964,1715.75875831802,34688.8457225549,0,19504.0504482995,54192.8961708545,57357.938762725,57357.938762725,17367.8719494592,13822.1618397524,3088.31472399087,278.576060342369,0,0,0
Q42/M0_P1,2025-04-29,144,1715.75875831802,1891.49340747652,34445.4546504339,0,1519.37170058063,35964.8263510146,59121.238101832,59121.238101832,18280.1198921728,14648.7359284173,229.581701508104,8286.222122918,0,0,0
Q42/M0_P1,2025-04-30,144,1891.49340747652,1975.65077528793,33963.2995149939,0,0,33963.2995149939,57712.0654584384,57712.0654584384,18958.7189563504,15280.8207236135,0,5777.31279236818,0,0,0
Q42/M0_P1,2025-05-01,144,1975.65077528793,1204.10574151816,34501.9730786773,0,11257.9197908572,45759.8928695344,56154.872524297,56154.872524297,19814.9614754169,16744.5093254805,2127.67416802477,4200.71574238536,0,0,0
Q42/M0_P1,2025-05-02,144,1204.10574151816,1200,11048.2127201863,0,9394.10850096143,20442.3212211477,27302.8928952589,27302.8928952589,16063.1772803559,13014.8687644547,2096.4458465689,12060.7101425932,0,0,0
Q42/M0_P1,2025-05-03,144,1200,1200,11429.1832631812,0,4135.59590191847,15564.7791650997,28748.6281839012,28748.6281839012,17155.6178793231,13896.0504822517,946.524457740916,17568.4135945707,0,0,0
Q42/M0_P1,2025-05-04,144,1200,1292.82458511517,37215.993314249,0,4785.59446657076,42001.5877808197,61092.3355058492,61092.3355058492,17269.4129275861,13904.6823447411,864.518558136619,6857.45614780743,0,0,0
Q42/M0_P1,2025-05-05,144,1292.82458511517,1339.07755294403,37679.8911449586,0,2919.13134655636,40599.0224915149,61764.6810275207,61764.6810275207,21225.1023495478,17150.7052320877,435.548681065237,3049.82579112587,0,0,0
Q42/M0_P1,2025-05-06,144,1339.07755294403,1295.81884962914,37946.8658783406,0,3125.1816666058,41072.0475449464,62001.2367993874,62001.2367993874,20742.5742854982,16840.418004237,684.90300814064,5913.90115960011,0,0,0
Q42/M0_P1,2025-05-07,144,1295.81884962914,1376.50366672138,39170.7504682864,0,3654.38686586799,42825.1373341544,63912.7978665122,63912.7978665122,20369.3025196714,16426.5187055508,533.02025464819,5435.18835703979,0,0,0
Q42/M0_P1,2025-05-08,144,1376.50366672138,2716.50931010554,41254.7366902289,0,0,41254.7366902289,65615.538728548,65615.538728548,19670.1358175462,14726.8049331667,0,4845.69544416843,0,0,0
Q42/M0_P1,2025-05-09,144,2716.50931010554,2370.96036473715,12430.0346836659,0,0,12430.0346836659,28802.257200348,28802.257200348,15948.3175867791,13229.1312961226,0,17583.6850596915,0,0,0
Q42/M0_P1,2025-05-10,144,2370.96036473715,1976.35351529774,12815.0526357243,0,0,12815.0526357243,29551.6009057405,29551.6009057405,15834.3101994379,13180.9374260402,0,14777.1828490095,0,0,0
Q42/M0_P1,2025-05-11,144,1976.35351529774,2029.73973075145,39549.4372901951,0,396.627480591665,39946.0647707868,63953.5167497433,63953.5167497433,18416.2263795352,14869.0957735152,59.5162666666664,4981.82332705663,0,0,0
Q42/M0_P1,2025-05-12,144,2029.73973075145,2447.8282336464,40097.2544463669,0,0,40097.2544463669,64609.4038813686,64609.4038813686,16462.2136885538,12958.1134351231,0,9174.10839460459,0,0,0
