branch,month,segments,initial_energy_kwh,final_energy_kwh,normal_yuan,adjustment_yuan,emergency_yuan,total_yuan,q0_kwh,a_final_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,adjust_up_kwh,adjust_down_kwh,adjust_abs_kwh
Q42/M0_P1,2025-12,4464,2370.60717567879,1875.68389574504,1961427.98238546,0,37237.2674120966,1998665.24979756,2722523.58006524,2722523.58006524,681591.229525619,552534.326867692,5642.23955036377,235071.980724347,0,0,0
Q42/R2_P1,2025-01,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/R2_P1,2025-02,4032,10800,4814.60999268813,1164183.97314902,0,185386.838261794,1349570.81141082,1842850.65654233,1842850.65654233,610673.958495693,500032.757388092,42791.1723817435,61120.9557498037,0,0,0
Q42/R2_P1,2025-03,4464,4814.60999268813,4984.04766371717,1000836.15187213,0,263787.517012357,1264623.66888449,1713726.87509746,1713726.87509746,623013.835100742,504488.712527673,59314.8627650707,128198.948822792,0,0,0
Q42/R2_P1,2025-04,4320,4984.04766371717,5704.24214965353,820022.952905875,0,223928.9466795,1043951.89958538,1455905.06099694,1455905.06099694,563323.537177167,455643.890076162,46526.9482934054,177022.763189338,0,0,0
Q42/R2_P1,2025-05,4464,5704.24214965353,10230.3583748552,842972.758659424,0,178851.386439712,1021824.14509914,1458098.6273988,1458098.6273988,545964.516368366,438157.753655695,39699.0453634806,203180.445082944,0,0,0
Q42/R2_P1,2025-06,4320,10230.3583748552,1895.83738199774,1246256.50097278,0,334144.395799681,1580400.89677246,1909395.37573837,1909395.37573837,545080.644409008,449016.390864867,66375.4094699349,129713.365480829,0,0,0
Q42/R2_P1,2025-07,4464,1895.83738199774,1297.98040112147,1549023.56403874,0,228835.905528399,1777859.46956714,2176420.43904682,2176420.43904682,572619.598686202,464359.946218612,45321.3295610078,168662.856623567,0,0,0
Q42/R2_P1,2025-08,4464,1297.98040112147,2408.2098480615,1264936.97485652,0,326513.276415467,1591450.25127198,1824650.59885322,1824650.59885322,539621.911768978,436094.542030626,62810.5774709511,199820.942319148,0,0,0
Q42/R2_P1,2025-09,4320,2408.2098480615,2619.89776376467,938060.929530013,0,552897.527582083,1490958.4571121,1523912.28535192,1523912.28535192,556325.114582846,450432.823687971,122703.023365547,152339.150572597,0,0,0
Q42/R2_P1,2025-10,4464,2619.89776376467,7004.2909178225,994300.072339024,0,304802.49283538,1299102.5651744,1687862.4903515,1687862.4903515,626484.162752888,503506.217991187,64815.5183987322,154566.472955201,0,0,0
Q42/R2_P1,2025-11,4320,7004.2909178225,6428.72691118239,1217904.78489399,0,172963.266641775,1390868.05153577,1926585.09776516,1926585.09776516,640594.858138469,519399.842698135,37202.1099924755,54619.78433397,0,0,0
Q42/R2_P1,2025-12,4464,6428.72691118239,1235.2640570262,1791307.77478791,0,150589.617285764,1941897.39207368,2545280.96252401,2545280.96252401,700635.61984668,572188.968644551,30803.399295039,83600.7743835885,0,0,0
Q42/M0_P7,2025-01,4464,6000,10800,1987521.23214906,0,1576339.51854824,3563860.75069731,2304883.11515929,2304883.11515929,53235.2496560553,38800.5522214048,312090.640569706,268916.414644342,0,0,0
Q42/M0_P7,2025-02,4032,10800,1953.99012213365,1257004.47779668,0,11940.3127238468,1268944.79052053,1951627.3786477,1951627.3786477,609483.75852722,501643.253297128,2476.03205527063,132383.233406216,0,0,0
Q42/M0_P7,2025-03,4464,1953.99012213365,1685.28105966213,1099600.4266574,0,30355.1834247148,1129955.61008211,1843603.88324044,1843603.88324044,639745.748854785,518435.8947286,5581.95127101313,201558.313918597,0,0,0
Q42/M0_P7,2025-04,4320,1685.28105966213,1975.65077528793,904469.037079682,0,42304.7070841257,946773.744163807,1584538.62024125,1584538.62024125,565652.299847694,457917.030132569,6858.32104032335,265932.072566448,0,0,0
Q42/M0_P7,2025-05,4464,1975.65077528793,2489.52438005496,925159.821602354,0,39826.2068205225,964986.028422876,1585266.92061697,1585266.92061697,545122.081521484,441086.399788111,7770.42073011082,302191.194647042,0,0,0
Q42/M0_P7,2025-06,4320,2489.52438005496,1870.09068456545,1363910.44049797,0,164946.919289653,1528857.35978762,2064844.39757354,2064844.39757354,562352.222266858,456062.790362096,26302.2313728189,234864.030858261,0,0,0
Q42/M0_P7,2025-07,4464,1870.09068456545,1753.45795710479,1664747.5234475,0,68032.3785526549,1732779.90200016,2321783.22140427,2321783.22140427,567352.423845238,459660.432769357,9576.6312584571,278848.602070175,0,0,0
Q42/M0_P7,2025-08,4464,1753.45795710479,2538.02599364068,1361504.80940276,0,52499.302390575,1414004.11179334,1965767.59681466,1965767.59681466,571850.788354016,462493.027333871,7530.94277142966,279827.914299278,0,0,0
Q42/M0_P7,2025-09,4320,2538.02599364068,2081.83504420831,1032080.88565438,0,220994.823780369,1253075.70943475,1667852.40679637,1667852.40679637,580663.092003335,470747.676377191,41026.5862619899,210579.710182211,0,0,0
Q42/M0_P7,2025-10,4464,2081.83504420831,2127.38869439472,1110118.68054067,0,26133.0647816361,1136251.74532231,1844078.69538645,1844078.69538645,638855.999383459,517432.361215434,4352.58253741778,251874.048722508,0,0,0
Q42/M0_P7,2025-11,4320,2127.38869439472,2375.0229514102,1344860.12148908,0,3196.23801693788,1348056.35950602,2076206.39641446,2076206.39641446,622654.659803585,504127.40360959,586.899219407547,170293.631456538,0,0,0
Q42/M0_P7,2025-12,4464,2375.0229514102,1879.80463048063,1962928.52107943,0,39586.5027836639,2002515.02386309,2724115.08543793,2724115.08543793,690684.421422391,559900.077840973,6138.32377858649,235432.129401761,0,0,0
Q43/C0-P1,2025-01,4464,6000,5162.18959439794,1642917.91612635,0,941212.670746726,2584130.58687307,2378263.81647318,2378263.81647318,673975.543775867,546674.219823494,182217.104856396,99392.6254605405,0,0,0
Q43/C0-P1,2025-02,4032,5162.18959439794,4344.92275892528,1197749.22095332,0,183941.48046294,1381690.70141626,1882695.93888676,1882695.93888676,600430.892006449,487084.562677149,41358.9183923139,96831.2842164376,0,0,0
Q43/C0-P1,2025-03,4464,4344.92275892528,4943.40772799477,1038992.73147341,0,234151.505841407,1273144.23731482,1762739.43721762,1762739.43721762,608501.203285911,492347.338189426,51675.7299064274,172076.422227563,0,0,0
Q43/C0-P1,2025-04,4320,4943.40772799477,5822.71951560113,837273.882552474,0,188918.873379476,1026192.75593195,1476548.73945859,1476548.73945859,554621.886613875,448452.347548393,42084.7328436645,194807.02423677,0,0,0
Q43/C0-P1,2025-05,4464,5822.71951560113,10698.6470176544,837327.116242487,0,253031.289054561,1090358.40529705,1442565.59874451,1442565.59874451,532764.950463001,427151.275123183,52823.1567264946,203031.268497849,0,0,0
Q43/C0-P1,2025-06,4320,10698.6470176544,1542.86646551568,1270932.83745905,0,245821.2771787,1516754.11463775,1941711.67961048,1941711.67961048,542244.169985597,447457.980185258,52026.1743480964,149069.104641573,0,0,0
Q43/C0-P1,2025-07,4464,1542.86646551568,1384.13172819333,1559675.64570868,0,385374.244144307,1945049.88985299,2179757.47537826,2179757.47537826,539863.660772606,437432.426489401,69741.8129979777,202038.801243028,0,0,0
Q43/C0-P1,2025-08,4464,1384.13172819333,2453.24699734508,1302797.79194276,0,263576.227519894,1566374.01946265,1872831.1686645,1872831.1686645,539946.751777552,436394.665197581,51899.1419805222,237083.543131719,0,0,0
Q43/C0-P1,2025-09,4320,2453.24699734508,2768.341139421,970451.065654766,0,443321.944797767,1413773.01045253,1575407.19735008,1575407.19735008,560664.922310283,453855.002343461,103950.043055391,184112.891521984,0,0,0
Q43/C0-P1,2025-10,4464,2768.341139421,7324.31268957116,1028173.53439169,0,262524.87906226,1290698.41345395,1734041.05368989,1734041.05368989,623038.333453078,500560.675701858,56680.8279884362,192955.79789377,0,0,0
Q43/C0-P1,2025-11,4320,7324.31268957116,6460.70782723799,1219390.73050367,0,244037.59349831,1463428.32400198,1932947.84476262,1932947.84476262,632456.537154862,513067.039471538,50439.0818974967,76203.5576601226,0,0,0
Q43/C0-P1,2025-12,4464,6460.70782723799,1349.12688822005,1775624.85956709,0,248247.962320569,2023872.82188766,2525312.71667715,2525312.71667715,688155.109855261,562006.061827878,46547.6598424486,81743.6005922102,0,0,0
Q43/C1-P1,2025-01,4464,6000,5302.1006315729,1642790.89953564,0,968108.81766287,2610899.71719851,2377967.13962051,2377967.13962051,665596.641554785,539761.38909096,189129.93558893,107474.850828952,0,0,0
Q43/C1-P1,2025-02,4032,5302.1006315729,4344.92275892528,1197685.76023246,0,201813.61891986,1399499.37915232,1882529.00196449,1882529.00196449,595630.250194796,483321.962743168,45122.8441977794,101466.314977306,0,0,0
Q43/C1-P1,2025-03,4464,4344.92275892528,4991.60649842409,1038493.28969069,0,237439.880307049,1275933.16999774,1761444.45009018,1761444.45009018,602425.578418154,487382.703153156,56665.8722761644,176882.567301344,0,0,0
Q43/C1-P1,2025-04,4320,4991.60649842409,5860.9397128654,835998.286120689,0,210607.349066737,1046605.63518743,1473276.59481277,1473276.59481277,544036.974895987,439887.549772752,51504.7060431719,202974.966732708,0,0,0
Q43/C1-P1,2025-05,4464,5860.9397128654,10800,836168.073344009,0,308149.003164983,1144317.07650899,1439729.23649898,1439729.23649898,508263.251998772,407248.079860584,73956.7437887809,225926.996516238,0,0,0
Q43/C1-P1,2025-06,4320,10800,1542.80357662679,1270593.19909379,0,269164.121979082,1539757.32107287,1940929.52243998,1940929.52243998,532216.124773284,439426.537847396,60205.0511231694,158462.427120595,0,0,0
Q43/C1-P1,2025-07,4464,1542.80357662679,1395.46832574295,1559466.14982204,0,388401.717979409,1947867.86780145,2179364.14226678,2179364.14226678,527183.176926575,427150.975036321,80200.4003267524,214503.087853277,0,0,0
Q43/C1-P1,2025-08,4464,1395.46832574295,2453.24699734508,1302503.66997466,0,278400.898396281,1580904.56837094,1872199.16058413,1872199.16058413,525891.474319568,425020.093394408,63502.7767014105,250735.875427049,0,0,0
Q43/C1-P1,2025-09,4320,2453.24699734508,2813.21046773863,969637.484179162,0,480879.777083202,1450517.26126236,1573474.60165319,1573474.60165319,546549.918367399,442381.466754239,115879.320628629,196751.041751992,0,0,0
Q43/C1-P1,2025-10,4464,2813.21046773863,7325.53062475634,1027959.58021169,0,276812.059637031,1304771.63984872,1733547.10664607,1733547.10664607,616901.621919829,495629.225613746,61621.5085169588,198607.792823611,0,0,0
Q43/C1-P1,2025-11,4320,7325.53062475634,6607.70558530499,1219150.07268986,0,291278.111161109,1510428.18385097,1932365.59641999,1932365.59641999,618288.638541873,501459.839754424,62156.3285266258,89899.2548425045,0,0,0
Q43/C1-P1,2025-12,4464,6607.70558530499,1349.12688822005,1775171.35101617,0,296166.300687579,2071337.65170375,2524331.0337416,2524331.0337416,675795.178438103,552126.81536224,56475.0667981666,93170.0095639004,0,0,0
Q43/C2-P1,2025-01,4464,6000,5301.37388066087,1709911.49148474,69198.0374326678,493697.836130408,2272807.36504781,2368598.83756064,2430789.59752854,693828.908380619,562630.179295706,103517.30074711,69321.1972740755,105956.067617001,43765.3076491006,149721.375266101
Q43/C2-P1,2025-02,4032,5301.37388066087,4344.92275892528,1155873.73230698,31214.5700804591,186758.945785905,1373847.24817335,1882354.30294353,1830428.08825626,613287.367573197,497623.573743852,42284.9138713894,43171.9645649666,13456.9438002178,65383.1584874918,78840.1022877096
Q43/C2-P1,2025-03,4464,4344.92275892528,4977.0999061493,1011478.89799607,33714.312158476,165122.942951518,1210316.15310606,1762628.80336882,1720010.82904371,629983.964782953,509718.05204169,40264.8976553456,113824.934157791,29851.3372372331,72469.3115623468,102320.64879958
Q43/C2-P1,2025-04,4320,4977.0999061493,5860.9397128654,827901.438878723,23479.7948299937,123522.064452111,974903.298160827,1475934.34261519,1459208.21998498,564405.786098343,456373.230913613,29109.4828796795,162628.238679927,29251.89590437,45978.0185345863,75229.9144389563
Q43/C2-P1,2025-05,4464,5860.9397128654,10613.3843521267,844513.21929502,23121.1926098381,148410.515894286,1016044.92779914,1442033.2245021,1457395.28084708,544928.463763311,437114.855472947,33477.8031026169,196315.664025999,45198.3477718179,29836.2914268344,75034.6391986523
Q43/C2-P1,2025-06,4320,10613.3843521267,1539.17188218235,1255242.404387,37942.2873512986,171753.734792881,1464938.42653118,1942627.84065111,1917608.35804497,559979.198734212,461749.942197661,37486.0869931393,106982.62898489,39065.3550051639,64084.8376113062,103150.19261647
Q43/C2-P1,2025-07,4464,1539.17188218235,1398.80520012288,1550647.71969534,46796.2072631638,190632.191714687,1788076.1186732,2179518.3613737,2159227.46005565,563514.641324077,456573.189486356,38770.4696049485,146027.224972876,54766.2490244691,75057.1503425157,129823.399366985
Q43/C2-P1,2025-08,4464,1398.80520012288,2453.24699734508,1283936.11009186,32549.7506174877,184342.398849525,1500828.25955887,1872526.68283799,1845583.25569072,555437.65414701,448955.502241578,39191.3271747913,194197.75002675,34301.2346731773,61244.6618204399,95545.8964936172
Q43/C2-P1,2025-09,4320,2453.24699734508,2919.04064677084,967717.771444349,28577.528741437,355147.064707482,1351442.36489327,1575025.40134478,1563472.75832939,571524.015491623,462515.238263732,87127.7755414964,153157.327726333,38501.4278130977,50054.0708284855,88555.4986415832
Q43/C2-P1,2025-10,4464,2919.04064677084,7133.50318558437,1005403.62542167,33705.0744326597,194017.997185577,1233126.6970399,1733401.82621155,1689421.89174862,635816.391707513,511218.260998153,44897.6344371525,134432.969443078,29617.4870299402,73597.4214928765,103214.908522817
Q43/C2-P1,2025-11,4320,7133.50318558437,6608.87651995006,1228688.29818422,28638.5358602058,119948.589589459,1377275.42363388,1932497.68529568,1939298.51639633,643866.155539175,522003.749985803,27280.225557557,56922.4650838479,39529.9099643545,32729.0788637058,72258.9888280603
Q43/C2-P1,2025-12,4464,6608.87651995006,1349.1108326645,1770324.6261911,33459.1383541489,161266.187171654,1965049.9517169,2524374.86610348,2516944.0715735,698822.541041461,570780.047362141,32585.0372510076,57518.8872451837,34928.7570152446,42359.5515452311,77288.3085604757
Q43/C2-P7,2025-01,4464,6000,5881.31803223032,1710216.04027961,69183.3841322686,495036.825653047,2274436.25006492,2368531.3991424,2431001.27855708,691789.846768382,560456.589653382,103753.154765117,69634.2042905337,106113.409778611,43643.530363931,149756.940142542
Q43/C2-P7,2025-02,4032,5881.31803223032,4344.92275892528,1156243.63134463,31800.9030319506,186236.32503249,1374280.85940907,1881792.69785214,1830269.54552343,614387.416603304,499036.563194651,42103.959173455,43145.4075548961,14427.8009286944,65950.9532574116,80378.754186106
Q43/C2-P7,2025-03,4464,4344.92275892528,5739.36679620537,1011961.90400405,33714.145602621,165323.953700986,1211000.00330766,1764884.72108735,1720552.26014238,638106.921383699,515611.606687244,40339.9271260207,112211.992771942,29046.257673504,73378.7186184815,102424.976291986
Q43/C2-P7,2025-04,4320,5739.36679620537,5860.93971286541,827890.777559233,23807.3797449542,123831.42872415,975529.586028337,1476207.77038193,1458856.65530347,571764.085861642,463019.493922936,29157.1474145357,161612.301779305,29272.1327376433,46623.247816101,75895.3805537443
Q43/C2-P7,2025-05,4464,5860.93971286541,10613.3843521267,846132.952658604,24495.093671944,147388.313756969,1018016.36008752,1444623.80054767,1459719.58608668,557941.834032213,447655.685390757,33033.1454813489,195722.77129324,47387.7531249398,32291.9675859303,79679.7207108702
Q43/C2-P7,2025-06,4320,10613.3843521267,2252.90589400321,1257123.90057961,39795.5040665017,173135.558538357,1470054.96318447,1946802.52733137,1918115.35406513,572288.233322802,471077.89960378,37663.9244636586,104686.385293106,41726.9187039489,70414.0919701818,112141.010674131
Q43/C2-P7,2025-07,4464,2252.90589400321,1398.80520012288,1553133.90460339,45737.9607650975,189728.05854819,1788599.92391668,2182110.68243767,2162970.29659796,576940.290869791,468090.326229023,38409.0531664591,147500.132273651,54851.0706313796,73991.4564710862,128842.527102466
Q43/C2-P7,2025-08,4464,1398.80520012288,3642.81544570124,1286566.40248178,31067.3693789521,183305.436081733,1500939.20794247,1875864.74983195,1848078.99118811,561324.549837314,452653.276147204,38963.5238800001,194276.560444666,31892.5472233909,59678.3058672297,91570.8530906206
Q43/C2-P7,2025-09,4320,3642.81544570124,3475.43272104405,966742.618507289,28488.318535908,356085.183239412,1351316.12028261,1573307.1546517,1560074.32801985,564682.154482143,457543.189582727,87739.0618877112,152239.996091475,38170.9126796579,51403.7393115067,89574.6519911645
Q43/C2-P7,2025-10,4464,3475.43272104405,7081.77616102466,1005453.95182863,33320.1174264704,194900.439367771,1233674.50862287,1732127.74863887,1687877.67832398,633391.200891649,509801.163626253,44963.2504150635,133962.46544031,29186.9057031304,73436.9760180263,102623.881721157
Q43/C2-P7,2025-11,4320,7081.77616102466,7362.8415755317,1228952.10365056,28895.127029518,120270.63583339,1378117.86651347,1934902.77352325,1939742.04280316,652558.267749254,528319.238003839,27319.594763706,55028.7365047884,39250.0284352055,34410.7591552899,73660.7875904955
Q43/C2-P7,2025-12,4464,7362.8415755317,1349.1108326645,1771864.27317942,33386.700319645,160886.528996609,1966137.50249567,2526262.84455108,2519005.3974643,713529.530084972,583371.277037408,32393.93524489,57273.3517616304,34467.8613704579,41725.3084572291,76193.169827687
