day_index,date,slot,q_kwh,c_kwh,s_kwh,z_kwh,w_kwh,E_kwh,price
78,2025-03-20T00:00:00,24,594.516930626,0,9.41306937389,0,0,9296.33015973,0.4378
78,2025-03-20T00:00:00,25,619.46468857,29.6700552368,0,0,0,9323.03320944,0.4401
78,2025-03-20T00:00:00,26,624.010775817,42.5467258166,0,0,0,9361.32526268,0.4389
78,2025-03-20T00:00:00,27,602.601364934,17.016364934,0,0,0,9376.63999112,0.4364
78,2025-03-20T00:00:00,28,612.661066287,12.9359329538,0,0,0,9388.28233078,0.4393
78,2025-03-20T00:00:00,29,627.676213024,10.9368963575,0,0,0,9398.1255375,0.4422
78,2025-03-20T00:00:00,30,623.733434419,0,1.86156558083,0,0,9396.0571313,0.4395
78,2025-03-20T00:00:00,31,609.573649447,0,9.86026721939,0,0,9385.10127883,0.4333
78,2025-03-20T00:00:00,32,606.23147623,0,11.6129237702,0,0,9372.1980302,0.4439
78,2025-03-20T00:00:00,33,1444.1528745,833.333333333,0,0,3.70454116405,10122.1980302,0.4301
78,2025-03-20T00:00:00,34,1443.51476131,753.11329978,0,0,114.971394859,10800,0.3713
78,2025-03-20T00:00:00,35,687.52604803,0,0,0,16.0629313638,10800,0.5708
78,2025-03-20T00:00:00,36,0,0,827.015,0,0,9881.09444444,0.9099
78,2025-03-20T00:00:00,37,0,0,791.949933333,0,0,9001.15007407,0.9368
78,2025-03-20T00:00:00,38,0,0,709.963316667,0,0,8212.30194444,0.8758
78,2025-03-20T00:00:00,39,0,0,671.370833333,0,0,7466.33435185,0.8759
78,2025-03-20T00:00:00,40,0,0,629.044866667,0,0,6767.39561111,0.8601
78,2025-03-20T00:00:00,41,0,0,586.155916667,0,0,6116.11125926,0.8442
78,2025-03-20T00:00:00,42,0,0,531.182083333,0,0,5525.90894444,0.8334
78,2025-03-20T00:00:00,43,235.188274193,0,211.387225807,0,0,5291.0342491,0.8092
78,2025-03-20T00:00:00,44,439.161607314,37.919990647,0,0,0,5325.16224069,0.7972
78,2025-03-20T00:00:00,45,383.822669006,14.2455856727,0,0,0,5337.98326779,0.7644
78,2025-03-20T00:00:00,46,304.37356631,23.6833663104,0,0,0,5359.29829747,0.6899
78,2025-03-20T00:00:00,47,0,0,334.578066667,0,0,4987.54489006,0.86
78,2025-03-20T00:00:00,48,0,0,488.179583333,0,0,4445.1231308,1.1617
78,2025-03-20T00:00:00,49,0,0,482.80385,0,0,3908.67440858,1.1683
78,2025-03-20T00:00:00,50,0,0,438.3714,0,0,3421.59507525,1.0956
78,2025-03-20T00:00:00,51,0,0,411.1575,0,0,2964.75340858,1.0849
78,2025-03-20T00:00:00,52,0,0,332.672183333,0,0,2595.11764932,1.061
78,2025-03-20T00:00:00,53,0,0,278.005133333,0,0,2286.22305673,1.043
78,2025-03-20T00:00:00,54,0,0,262.820416667,0,0,1994.20037154,1.036
78,2025-03-20T00:00:00,55,0,0,221.283766667,0,0,1748.32951969,1.0147
78,2025-03-20T00:00:00,56,0,0,150.518366667,0,0,1581.08689006,0.9922
78,2025-03-20T00:00:00,57,0,0,77.1854166667,0,0,1495.32531599,0.97
78,2025-03-20T00:00:00,58,0,0,36.09475,0,0,1455.22003821,0.9422
78,2025-03-20T00:00:00,59,0,0,41.25735,0,0,1409.37853821,0.9569
78,2025-03-20T00:00:00,60,0,0,45.2070833333,0,0,1359.14844562,0.9977
78,2025-03-20T00:00:00,61,0,16.20875,0,0,0,1373.73632062,0.9919
78,2025-03-20T00:00:00,62,0,54.7878,0,0,0,1423.04534062,0.9588
78,2025-03-20T00:00:00,63,0,67.5775,0,0,0,1483.86509062,0.9549
78,2025-03-20T00:00:00,64,0,135.713066667,0,0,0,1606.00685062,0.9839
78,2025-03-20T00:00:00,65,0,183.836566667,0,0,0,1771.45976062,0.799
78,2025-03-20T00:00:00,66,704.846905829,833.333333333,0,0,35.3635724956,2521.45976062,0.5025
78,2025-03-20T00:00:00,67,702.277836846,812.215220179,0,0,0,3252.45345878,0.4662
78,2025-03-20T00:00:00,68,681.854469677,791.695619677,0,0,0,3964.97951649,0.5007
78,2025-03-20T00:00:00,69,655.482483513,815.059566846,0,0,0,4698.53312665,0.4827
78,2025-03-20T00:00:00,70,661.893171632,833.333333333,0,0,8.82745496492,5448.53312665,0.4785
78,2025-03-20T00:00:00,71,649.32547135,833.333333333,0,0,25.2272546829,6198.53312665,0.4662
78,2025-03-20T00:00:00,72,603.491760022,833.333333333,0,0,45.1800933555,6948.53312665,0.4432
78,2025-03-20T00:00:00,73,580.612324343,833.333333333,0,0,101.300307677,7698.53312665,0.4411
78,2025-03-20T00:00:00,74,574.188848484,833.333333333,0,0,113.412315151,8448.53312665,0.4551
78,2025-03-20T00:00:00,75,574.288345435,833.333333333,0,0,45.2387621014,9198.53312665,0.4463
78,2025-03-20T00:00:00,76,603.989071748,803.818505082,0,0,0,9921.96978122,0.4113
78,2025-03-20T00:00:00,77,387.650001137,560.748234471,0,0,0,10426.6431922,0.5682
78,2025-03-20T00:00:00,78,0,195.736666667,0,0,0,10602.8061922,0.8279
78,2025-03-20T00:00:00,79,0,138.075566667,0,0,0,10727.0742022,0.8636
78,2025-03-20T00:00:00,80,0,81.0286641692,0,0,9.27171916416,10800,0.8416
78,2025-03-20T00:00:00,81,0,0,0,0,95.11875,10800,0.8618
78,2025-03-20T00:00:00,82,0,0,0,0,102.199116667,10800,0.8623
78,2025-03-20T00:00:00,83,0,0,0,0,104.792733333,10800,0.9026
78,2025-03-20T00:00:00,84,0,0,0,0,86.655,10800,0.9754
78,2025-03-20T00:00:00,85,0,0,0,0,28.3552333333,10800,1.0002
78,2025-03-20T00:00:00,86,0,0,18.5539,0,0,10779.3845556,0.9978
78,2025-03-20T00:00:00,87,0,0,39.5170833333,0,0,10735.4766852,1.0271
78,2025-03-20T00:00:00,88,0,0,70.2932833333,0,0,10657.373037,1.0906
78,2025-03-20T00:00:00,89,0,0,126.358516667,0,0,10516.9746852,0.9376
78,2025-03-20T00:00:00,90,207.065907668,26.4217410012,0,0,0,10540.7542521,0.6694
78,2025-03-20T00:00:00,91,780.907966042,288.050831015,0,0,295.53856836,10800,0.66
78,2025-03-20T00:00:00,92,267.133586337,0,0,0,18.32681967,10800,0.7217
78,2025-03-20T00:00:00,93,313.834963727,0,26.3075362729,0,0,10770.7694041,0.7308
78,2025-03-20T00:00:00,94,376.307743661,0,26.4745230058,0,0,10741.3532675,0.7534
78,2025-03-20T00:00:00,95,416.140348762,0,36.3121012382,0,0,10701.0064883,0.7823
78,2025-03-20T00:00:00,96,441.530632368,0,65.7935342988,0,0,10627.9025613,0.8055
78,2025-03-20T00:00:00,97,501.933372972,0,60.3281770276,0,0,10560.8712535,0.8271
78,2025-03-20T00:00:00,98,569.003380721,0,30.0638359456,0,0,10527.4669913,0.8519
78,2025-03-20T00:00:00,99,624.130485503,0,6.62576449684,0,0,10520.1050308,0.8791
78,2025-03-20T00:00:00,100,679.566126694,0,9.16942330624,0,0,10509.9167827,0.9024
78,2025-03-20T00:00:00,101,734.861050075,0,7.86323325859,0,0,10501.1798568,0.9163
78,2025-03-20T00:00:00,102,791.151385851,3.73846918393,0,0,0,10504.5444791,0.9264
78,2025-03-20T00:00:00,103,840.186709378,0,3.04574062207,0,0,10501.1603229,0.9462
78,2025-03-20T00:00:00,104,874.95697591,1.10179257622,0,0,0,10502.1519362,0.9742
78,2025-03-20T00:00:00,105,926.600196489,21.8764464893,0,0,0,10521.840738,0.9862
78,2025-03-20T00:00:00,106,1013.49872208,40.407972081,0,0,0,10558.2079129,0.976
78,2025-03-20T00:00:00,107,932.416936224,59.4137528911,0,0,0,10611.6802905,1.0742
78,2025-03-20T00:00:00,108,739.242566883,56.8892335499,0,0,0,10662.8806007,1.2313
78,2025-03-20T00:00:00,109,710.809199569,12.8119162353,0,0,0,10674.4113253,1.2561
78,2025-03-20T00:00:00,110,736.536718425,0,2.77149824117,0,0,10671.3318828,1.2447
78,2025-03-20T00:00:00,111,732.918628679,23.6769620124,0,0,0,10692.6411486,1.2545
78,2025-03-20T00:00:00,112,740.944967111,26.5221504444,0,0,0,10716.511084,1.2522
78,2025-03-20T00:00:00,113,296.534277351,0,448.440055982,0,0,10218.2443551,1.2881
78,2025-03-20T00:00:00,114,0,0,763.206666667,0,0,9370.23694774,1.3466
78,2025-03-20T00:00:00,115,0,0,746.718033333,0,0,8540.55024403,1.3523
78,2025-03-20T00:00:00,116,0,0,714.2555,0,0,7746.93302181,1.3445
78,2025-03-20T00:00:00,117,0,0,699.463333333,0,0,6969.75154033,1.3483
78,2025-03-20T00:00:00,118,0,0,721.8114,0,0,6167.73887366,1.349
78,2025-03-20T00:00:00,119,0,0,728.491,0,0,5358.30442922,1.3473
78,2025-03-20T00:00:00,120,0,0,726.368333333,0,0,4551.22850329,1.3482
78,2025-03-20T00:00:00,121,0,0,764.336516667,0,0,3701.965707,1.3513
78,2025-03-20T00:00:00,122,0,0,753.943816667,0,0,2864.25035514,1.34
78,2025-03-20T00:00:00,123,0,0,702.561666667,0,0,2083.62628107,1.3489
78,2025-03-20T00:00:00,124,0,0,709.374483333,0,0,1295.4324107,1.3952
78,2025-03-20T00:00:00,125,765.598057348,45.7620740148,0,0,0,1336.61827731,1.2226
78,2025-03-20T00:00:00,126,770.470963595,60.9292969287,0,0,0,1391.45464455,0.9332
78,2025-03-20T00:00:00,127,750.12859256,35.0839092267,0,0,0,1423.03016285,0.9068
78,2025-03-20T00:00:00,128,739.107840985,2.65724098484,0,0,0,1425.42167974,0.9371
78,2025-03-20T00:00:00,129,748.502134542,0,10.4311987916,0,0,1413.83145886,0.9371
78,2025-03-20T00:00:00,130,750.468779557,0,3.90668710979,0,0,1409.4906954,0.9871
78,2025-03-20T00:00:00,131,673.418095729,6.48056239524,0,0,0,1415.32320156,0.7764
78,2025-03-20T00:00:00,132,569.41746192,16.2607952531,0,0,0,1429.95791729,0.4209
78,2025-03-20T00:00:00,133,566.691435882,27.7899692153,0,0,0,1454.96888958,0.3859
78,2025-03-20T00:00:00,134,585.07893103,31.7504310303,0,0,0,1483.54427751,0.4368
78,2025-03-20T00:00:00,135,579.24709317,36.60709317,0,0,0,1516.49066136,0.4198
78,2025-03-20T00:00:00,136,587.346346187,63.3242461865,0,0,0,1573.48248293,0.4186
78,2025-03-20T00:00:00,137,586.752230644,59.782663977,0,0,0,1627.28688051,0.4241
78,2025-03-20T00:00:00,138,583.941458694,34.5414586935,0,0,0,1658.37419333,0.4237
78,2025-03-20T00:00:00,139,604.773731844,45.3723818444,0,0,0,1699.20933699,0.4248
78,2025-03-20T00:00:00,140,601.836055209,58.2081218755,0,0,0,1751.59664668,0.424
78,2025-03-20T00:00:00,141,583.406972245,38.785305578,0,0,0,1786.5034217,0.422
78,2025-03-20T00:00:00,142,588.922200182,0,11.7571331518,0,0,1773.43994042,0.424
78,2025-03-20T00:00:00,143,537.64882591,0,3.32935742312,0,0,1769.7406544,0.4271
78,2025-03-20T00:00:00,144,448.686758568,48.5200919018,0,0,0,1813.40873711,0.4276
79,2025-03-21T00:00:00,1,1254.39279168,833.333333333,0,0,27.8215083463,2563.40873711,0.4248
79,2025-03-21T00:00:00,2,1260.8363681,833.199818101,0,0,0,3313.2885734,0.4245
79,2025-03-21T00:00:00,3,1248.1215616,818.908228264,0,0,0,4050.30597884,0.4269
79,2025-03-21T00:00:00,4,403.482552144,0,16.2100978562,0,0,4032.294759,0.4272
79,2025-03-21T00:00:00,5,704.969664131,293.430580798,0,0,0,4296.38228171,0.4271
79,2025-03-21T00:00:00,6,436.997593391,28.305926724,0,0,0,4321.85761577,0.4285
79,2025-03-21T00:00:00,7,429.707247794,18.3937144609,0,0,0,4338.41195878,0.4311
79,2025-03-21T00:00:00,8,415.957855634,0,8.35387769892,0,0,4329.12987245,0.4302
79,2025-03-21T00:00:00,9,413.952613327,0,24.3973866732,0,0,4302.02166503,0.4279
79,2025-03-21T00:00:00,10,427.626293413,0,7.87470658728,0,0,4293.27199105,0.4312
79,2025-03-21T00:00:00,11,443.512816149,18.1408828153,0,0,0,4309.59878558,0.4333
79,2025-03-21T00:00:00,12,453.161998666,29.5469986665,0,0,0,4336.19108438,0.4311
79,2025-03-21T00:00:00,13,442.491811425,5.91671142493,0,0,0,4341.51612466,0.4293
79,2025-03-21T00:00:00,14,417.419851592,0,21.6237650742,0,0,4317.48971903,0.4324
79,2025-03-21T00:00:00,15,395.584995327,0,39.6700046725,0,0,4273.41193606,0.4367
79,2025-03-21T00:00:00,16,410.128176465,0,43.2259735351,0,0,4225.38307657,0.4348
79,2025-03-21T00:00:00,17,433.181758097,0,35.3971752363,0,0,4186.05288187,0.4335
79,2025-03-21T00:00:00,18,446.066901336,0,13.126431997,0,0,4171.46795742,0.4357
79,2025-03-21T00:00:00,19,456.682524043,25.6963407101,0,0,0,4194.59466406,0.4374
79,2025-03-21T00:00:00,20,448.790340124,18.2732401244,0,0,0,4211.04058018,0.4371
79,2025-03-21T00:00:00,21,430.151249965,0,23.3187500347,0,0,4185.13085791,0.4356
79,2025-03-21T00:00:00,22,424.121679824,0,28.8110368426,0,0,4153.11859476,0.4353
79,2025-03-21T00:00:00,23,433.912664577,0,19.3075854231,0,0,4131.66572206,0.436
79,2025-03-21T00:00:00,24,448.452634677,0,4.78236532321,0,0,4126.35198282,0.4378
79,2025-03-21T00:00:00,25,451.391847136,22.5712971365,0,0,0,4146.66615024,0.4401
79,2025-03-21T00:00:00,26,442.734927195,7.3539271946,0,0,0,4153.28468471,0.4389
79,2025-03-21T00:00:00,27,439.349099826,0,23.7642335078,0,0,4126.87998082,0.4364
79,2025-03-21T00:00:00,28,460.882637505,14.7158708386,0,0,0,4140.12426457,0.4393
79,2025-03-21T00:00:00,29,468.216034055,33.8863673888,0,0,0,4170.62199522,0.4422
79,2025-03-21T00:00:00,30,454.743331023,4.69999768933,0,0,0,4174.85199314,0.4395
79,2025-03-21T00:00:00,31,448.156811715,0,14.7588882846,0,0,4158.45322838,0.4333
79,2025-03-21T00:00:00,32,441.936302109,0,19.2131312242,0,0,4137.1053048,0.4439
79,2025-03-21T00:00:00,33,432.444745587,0,23.1669210795,0,0,4111.36428138,0.4301
79,2025-03-21T00:00:00,34,1258.4383276,793.711544272,0,0,0,4825.70467122,0.3713
79,2025-03-21T00:00:00,35,0,0,473.187183333,0,0,4299.94113418,0.5708
79,2025-03-21T00:00:00,36,0,0,465.435,0,0,3782.79113418,0.9099
79,2025-03-21T00:00:00,37,0,0,420.8469,0,0,3315.18346752,0.9368
79,2025-03-21T00:00:00,38,0,0,378.682283333,0,0,2894.42537492,0.8758
79,2025-03-21T00:00:00,39,0,0,347.763333333,0,0,2508.02167122,0.8759
79,2025-03-21T00:00:00,40,0,0,310.665016667,0,0,2162.83831937,0.8601
79,2025-03-21T00:00:00,41,0,0,302.50325,0,0,1826.72359715,0.8442
79,2025-03-21T00:00:00,42,0,0,293.996666667,0,0,1500.06063418,0.8334
79,2025-03-21T00:00:00,43,0,0,217.967766667,0,0,1257.87422678,0.8092
79,2025-03-21T00:00:00,44,0,0,52.0868040988,109.791845901,0,1200,0.7972
79,2025-03-21T00:00:00,45,0,0,0,123.61375,0,1200,0.7644
79,2025-03-21T00:00:00,46,0,0,0,16.0397333333,0,1200,0.6899
79,2025-03-21T00:00:00,47,0,75.88815,0,0,0,1268.299335,0.86
79,2025-03-21T00:00:00,48,0,118.733333333,0,0,0,1375.159335,1.1617
79,2025-03-21T00:00:00,49,0,159.81705,0,0,0,1518.99468,1.1683
79,2025-03-21T00:00:00,50,0,187.890483333,0,0,0,1688.096115,1.0956
79,2025-03-21T00:00:00,51,0,226.8725,0,0,0,1892.281365,1.0849
79,2025-03-21T00:00:00,52,0,312.325666667,0,0,0,2173.374465,1.061
79,2025-03-21T00:00:00,53,0,329.932416667,0,0,0,2470.31364,1.043
79,2025-03-21T00:00:00,54,0,286.695416667,0,0,0,2728.339515,1.036
79,2025-03-21T00:00:00,55,0,300.422,0,0,0,2998.719315,1.0147
79,2025-03-21T00:00:00,56,0,300.769533333,0,0,0,3269.411895,0.9922
79,2025-03-21T00:00:00,57,0,305.751666667,0,0,0,3544.588395,0.97
79,2025-03-21T00:00:00,58,0,413.506083333,0,0,0,3916.74387,0.9422
79,2025-03-21T00:00:00,59,0,499.616966667,0,0,0,4366.39914,0.9569
79,2025-03-21T00:00:00,60,0,508.324166667,0,0,0,4823.89089,0.9977
79,2025-03-21T00:00:00,61,0,505.529716667,0,0,0,5278.867635,0.9919
79,2025-03-21T00:00:00,62,0,538.815983333,0,0,0,5763.80202,0.9588
79,2025-03-21T00:00:00,63,0,609.6875,0,0,0,6312.52077,0.9549
79,2025-03-21T00:00:00,64,0,678.2307,0,0,0,6922.9284,0.9839
79,2025-03-21T00:00:00,65,0,701.841116667,0,0,0,7554.585405,0.799
79,2025-03-21T00:00:00,66,0,695.010833333,0,0,0,8180.095155,0.5025
79,2025-03-21T00:00:00,67,0,715.9721,0,0,0,8824.470045,0.4662
79,2025-03-21T00:00:00,68,0,767.331316667,0,0,0,9515.06823,0.5007
79,2025-03-21T00:00:00,69,0,808.205833333,0,0,0,10242.45348,0.4827
79,2025-03-21T00:00:00,70,0,619.496133333,0,0,181.1808,10800,0.4785
79,2025-03-21T00:00:00,71,0,0,0,0,828.154766667,10800,0.4662
79,2025-03-21T00:00:00,72,0,0,0,0,860.53375,10800,0.4432
79,2025-03-21T00:00:00,73,0,0,0,0,793.580966667,10800,0.4411
79,2025-03-21T00:00:00,74,0,0,0,0,792.780116667,10800,0.4551
79,2025-03-21T00:00:00,75,0,0,0,0,855.139166667,10800,0.4463
79,2025-03-21T00:00:00,76,0,0,0,0,806.869833333,10800,0.4113
79,2025-03-21T00:00:00,77,0,0,0,0,736.923916667,10800,0.5682
79,2025-03-21T00:00:00,78,0,0,0,0,710.83,10800,0.8279
79,2025-03-21T00:00:00,79,0,0,0,0,703.962583333,10800,0.8636
79,2025-03-21T00:00:00,80,0,0,0,0,698.563933333,10800,0.8416
79,2025-03-21T00:00:00,81,0,0,0,0,693.527083333,10800,0.8618
79,2025-03-21T00:00:00,82,0,0,0,0,692.18895,10800,0.8623
79,2025-03-21T00:00:00,83,0,0,0,0,661.473316667,10800,0.9026
79,2025-03-21T00:00:00,84,0,0,0,0,593.52625,10800,0.9754
79,2025-03-21T00:00:00,85,0,0,0,0,513.740866667,10800,1.0002
79,2025-03-21T00:00:00,86,0,0,0,0,442.122033333,10800,0.9978
79,2025-03-21T00:00:00,87,0,0,0,0,386.432916667,10800,1.0271
79,2025-03-21T00:00:00,88,0,0,0,0,345.7968,10800,1.0906
79,2025-03-21T00:00:00,89,0,0,0,0,326.289466667,10800,0.9376
79,2025-03-21T00:00:00,90,0,0,0,0,323.307083333,10800,0.6694
79,2025-03-21T00:00:00,91,0,0,0,0,319.3932,10800,0.66
79,2025-03-21T00:00:00,92,0,0,0,0,296.170633333,10800,0.7217
79,2025-03-21T00:00:00,93,0,0,0,0,243.269583333,10800,0.7308
79,2025-03-21T00:00:00,94,0,0,0,0,171.034183333,10800,0.7534
79,2025-03-21T00:00:00,95,2.23770865616,0,0,0,138.539891989,10800,0.7823
79,2025-03-21T00:00:00,96,46.3568599599,0,0,0,163.657276627,10800,0.8055
79,2025-03-21T00:00:00,97,80.4257367301,0,0,0,118.849703397,10800,0.8271
79,2025-03-21T00:00:00,98,135.284753526,0,0,0,100.418086859,10800,0.8519
79,2025-03-21T00:00:00,99,206.194521308,0,0,0,110.042437974,10800,0.8791
79,2025-03-21T00:00:00,100,253.177711104,0,0,0,59.2855277703,10800,0.9024
79,2025-03-21T00:00:00,101,244.544825805,0,0,0,22.9722424721,10800,0.9163
79,2025-03-21T00:00:00,102,231.069400916,0,0,0,45.7352342495,10800,0.9264
79,2025-03-21T00:00:00,103,292.124211671,0,0,0,84.9335450046,10800,0.9462
79,2025-03-21T00:00:00,104,350.921629154,0,0,0,86.8951958206,10800,0.9742
79,2025-03-21T00:00:00,105,378.067052282,0,0,0,56.8387189491,10800,0.9862
79,2025-03-21T00:00:00,106,422.013010904,0,0,0,49.9503775711,10800,0.976
79,2025-03-21T00:00:00,107,188.336443806,0,226.905206194,0,0,10547.8831042,1.0742
79,2025-03-21T00:00:00,108,0,0,445.288333333,0,0,10053.1182894,1.2313
79,2025-03-21T00:00:00,109,0,0,452.260516667,0,0,9550.60660423,1.2561
79,2025-03-21T00:00:00,110,0,0,449.487966667,0,0,9051.17553015,1.2447
79,2025-03-21T00:00:00,111,0,0,435.71,0,0,8567.05330793,1.2545
79,2025-03-21T00:00:00,112,0,0,423.5798,0,0,8096.40908571,1.2522
79,2025-03-21T00:00:00,113,0,0,448.01605,0,0,7598.6134746,1.2881
79,2025-03-21T00:00:00,114,0,0,480.578333333,0,0,7064.63754867,1.3466
79,2025-03-21T00:00:00,115,0,0,457.1183,0,0,6556.72832645,1.3523
79,2025-03-21T00:00:00,116,0,0,438.22135,0,0,6069.81571534,1.3445
79,2025-03-21T00:00:00,117,0,0,454.326666667,0,0,5565.00830793,1.3483
79,2025-03-21T00:00:00,118,0,0,477.253633333,0,0,5034.72649312,1.349
79,2025-03-21T00:00:00,119,0,0,492.03985,0,0,4488.01554867,1.3473
79,2025-03-21T00:00:00,120,0,0,482.551666667,0,0,3951.84703015,1.3482
79,2025-03-21T00:00:00,121,0,0,446.72555,0,0,3455.48530793,1.3513
79,2025-03-21T00:00:00,122,0,0,454.943216667,0,0,2949.99284497,1.34
79,2025-03-21T00:00:00,123,0,0,494.825,0,0,2400.18728941,1.3489
79,2025-03-21T00:00:00,124,0,0,483.526816667,0,0,1862.9352709,1.3952
79,2025-03-21T00:00:00,125,0,0,458.333716667,0,0,1353.67558571,1.2226
79,2025-03-21T00:00:00,126,485.622113497,37.2504468305,0,0,0,1387.20098786,0.9332
79,2025-03-21T00:00:00,127,478.383006204,32.7907895372,0,0,0,1416.71269844,0.9068
79,2025-03-21T00:00:00,128,475.759065994,25.2061993276,0,0,0,1439.39827784,0.9371
79,2025-03-21T00:00:00,129,485.259312445,16.5359791115,0,0,0,1454.28065904,0.9371
79,2025-03-21T00:00:00,130,496.890068738,5.87485207106,0,0,0,1459.5680259,0.9871
79,2025-03-21T00:00:00,131,467.786635048,21.5894183811,0,0,0,1478.99850244,0.7764
79,2025-03-21T00:00:00,132,410.316825508,39.8851588412,0,0,0,1514.8951454,0.4209
79,2025-03-21T00:00:00,133,383.544446616,3.69579661599,0,0,0,1518.22136235,0.3859
79,2025-03-21T00:00:00,134,394.622091354,0,25.5653919797,0,0,1489.81537127,0.4368
79,2025-03-21T00:00:00,135,410.485009194,0,18.2033241389,0,0,1469.58945556,0.4198
79,2025-03-21T00:00:00,136,397.536153413,0.278336746637,0,0,0,1469.83995863,0.4186
79,2025-03-21T00:00:00,137,385.692816022,0,5.06811731109,0,0,1464.20871717,0.4241
79,2025-03-21T00:00:00,138,389.263232428,0,13.7301009057,0,0,1448.9530495,0.4237
79,2025-03-21T00:00:00,139,395.907121794,19.3465051271,0,0,0,1466.36490411,0.4248
79,2025-03-21T00:00:00,140,415.335431045,16.8418810455,0,0,0,1481.52259705,0.424
79,2025-03-21T00:00:00,141,435.66330462,0,9.54169538,0,0,1470.9207133,0.422
79,2025-03-21T00:00:00,142,424.689200708,21.8985840414,0,0,0,1490.62943894,0.424
79,2025-03-21T00:00:00,143,406.651503061,25.8314863942,0,0,0,1513.87777669,0.4271
79,2025-03-21T00:00:00,144,404.416187568,0,4.01547909873,0,0,1509.41613325,0.4276
171,2025-06-21T00:00:00,1,575.669334045,61.0053673783,0,0,0,3100.80842337,0.4248
171,2025-06-21T00:00:00,2,574.751628228,41.4029782278,0,0,0,3138.07110378,0.4245
171,2025-06-21T00:00:00,3,562.018878732,0,4.89112126768,0,0,3132.63652459,0.4269
171,2025-06-21T00:00:00,4,561.457065545,50.8693822112,0,0,0,3178.41896858,0.4272
171,2025-06-21T00:00:00,5,563.598893175,93.5560265081,0,0,0,3262.61939244,0.4271
171,2025-06-21T00:00:00,6,563.227956434,82.6646231002,0,0,0,3337.01755323,0.4285
171,2025-06-21T00:00:00,7,561.172001946,82.8420686122,0,0,0,3411.57541498,0.4311
171,2025-06-21T00:00:00,8,541.984333431,44.3462167646,0,0,0,3451.48701007,0.4302
171,2025-06-21T00:00:00,9,523.560798587,0,3.80253474627,0,0,3447.26197146,0.4279
171,2025-06-21T00:00:00,10,541.20572574,30.3981090736,0,0,0,3474.62026963,0.4312
171,2025-06-21T00:00:00,11,535.694011791,43.3530284573,0,0,0,3513.63799524,0.4333
171,2025-06-21T00:00:00,12,514.701626087,15.5982927534,0,0,0,3527.67645872,0.4311
171,2025-06-21T00:00:00,13,534.493156398,22.4262563984,0,0,0,3547.86008948,0.4293
171,2025-06-21T00:00:00,14,527.051155938,24.8675726047,0,0,0,3570.24090482,0.4324
171,2025-06-21T00:00:00,15,493.205640733,20.0806407331,0,0,0,3588.31348148,0.4367
171,2025-06-21T00:00:00,16,505.582566315,47.2625829813,0,0,0,3630.84980616,0.4348
171,2025-06-21T00:00:00,17,501.452260124,31.3548101243,0,0,0,3659.06913527,0.4335
171,2025-06-21T00:00:00,18,476.886334769,0,12.4869985639,0,0,3645.19469243,0.4357
171,2025-06-21T00:00:00,19,491.095730655,4.39769732163,0,0,0,3649.15262001,0.4374
