day_index,date,plan_cost,emg_cost,total_cost,e0,e_end,lp_status,lp_usable,wall_s,fallback,n_warn_slots,simul_cs_plan,pool_size
101,2025-04-12T00:00:00,14817.1991679,0,14817.1991679,1749.2909246,2173.68488177,0,1,0.0071424,0,0,0,80
102,2025-04-13T00:00:00,37286.596277,0,37286.596277,2173.68488177,1994.73617591,0,1,0.0075412,0,0,0,81
103,2025-04-14T00:00:00,36826.4341985,0,36826.4341985,1994.73617591,1725.07139508,0,1,0.0073493,0,0,0,82
104,2025-04-15T00:00:00,37589.9495286,0,37589.9495286,1725.07139508,2108.44494368,0,1,0.0076365,0,0,0,83
105,2025-04-16T00:00:00,37258.6104631,0,37258.6104631,2108.44494368,1940.77789861,0,1,0.0081738,0,0,0,84
106,2025-04-17T00:00:00,36859.8120466,0,36859.8120466,1940.77789861,2140.54689128,0,1,0.0085831,0,0,0,85
107,2025-04-18T00:00:00,13831.7838493,0,13831.7838493,2140.54689128,2327.77555147,0,1,0.0078852,0,0,0,86
108,2025-04-19T00:00:00,13734.656877,0,13734.656877,2327.77555147,2251.09152869,0,1,0.0088882,0,0,0,87
109,2025-04-20T00:00:00,35985.4141194,0,35985.4141194,2251.09152869,2202.24111006,0,1,0.0077147,0,0,0,88
110,2025-04-21T00:00:00,35823.2707174,0,35823.2707174,2202.24111006,1761.84013832,0,1,0.008068,0,0,0,89
111,2025-04-22T00:00:00,35050.7855589,0,35050.7855589,1761.84013832,1787.63993932,0,1,0.0082755,0,0,0,90
112,2025-04-23T00:00:00,36299.9390075,0,36299.9390075,1787.63993932,2217.34922484,0,1,0.0071584,0,0,0,91
113,2025-04-24T00:00:00,35307.916883,0,35307.916883,2217.34922484,1933.5300487,0,1,0.0073149,0,0,0,92
114,2025-04-25T00:00:00,12919.2155632,0,12919.2155632,1933.5300487,1672.44390621,0,1,0.0093952,0,0,0,93
115,2025-04-26T00:00:00,12867.1852096,0,12867.1852096,1672.44390621,1517.68797013,0,1,0.0071053,0,0,0,94
116,2025-04-27T00:00:00,32621.9653241,6154.87367563,38776.8389998,1517.68797013,1484.48442141,0,1,0.009577,0,0,0,95
117,2025-04-28T00:00:00,34154.0613681,25045.6205935,59199.6819617,1484.48442141,1715.75875832,0,1,0.0087463,0,0,0,96
118,2025-04-29T00:00:00,35017.738,1662.6547928,36680.3927928,1715.75875832,1891.49340748,0,1,0.0071409,0,0,0,97
119,2025-04-30T00:00:00,34294.0878813,0,34294.0878813,1891.49340748,1866.0991977,0,1,0.007316,0,0,0,98
120,2025-05-01T00:00:00,33711.9283441,11421.7909434,45133.7192875,1866.0991977,1204.10574152,0,1,0.0071434,0,0,0,99
121,2025-05-02T00:00:00,13349.8779831,11267.0341348,24616.9121179,1204.10574152,1200,0,1,0.0072491,0,0,0,100
122,2025-05-03T00:00:00,14086.1366191,4913.79345674,18999.9300758,1200,1209.79521445,0,1,0.0074889,0,0,0,101
123,2025-05-04T00:00:00,36403.7087482,4898.30704239,41302.0157906,1209.79521445,1292.82458512,0,1,0.0076751,0,0,0,102
124,2025-05-05T00:00:00,36997.5245937,3030.55851719,40028.0831109,1292.82458512,1339.07755294,0,1,0.0075709,0,0,0,103
125,2025-05-06T00:00:00,37036.2947357,3136.45508134,40172.7498171,1339.07755294,1295.81884963,0,1,0.0073276,0,0,0,104
126,2025-05-07T00:00:00,38144.0062113,3751.88287971,41895.889091,1295.81884963,1362.00977938,0,1,0.0079323,0,0,0,105
127,2025-05-08T00:00:00,40161.6949689,243.228932625,40404.9239015,1362.00977938,2362.53114753,0,1,0.0079351,0,0,0,106
128,2025-05-09T00:00:00,15346.306175,0,15346.306175,2362.53114753,2419.78357947,0,1,0.0075167,0,0,0,107
129,2025-05-10T00:00:00,15450.3548418,0,15450.3548418,2419.78357947,1971.20794819,0,1,0.00764,0,0,0,108
130,2025-05-11T00:00:00,38803.9145371,277.361039458,39081.2755766,1971.20794819,2009.36689742,0,1,0.0083035,0,0,0,109
131,2025-05-12T00:00:00,39164.4258256,0,39164.4258256,2009.36689742,2387.49787195,0,1,0.0075214,0,0,0,110
132,2025-05-13T00:00:00,38888.1870963,0,38888.1870963,2387.49787195,2194.46223334,0,1,0.0075846,0,0,0,111
133,2025-05-14T00:00:00,39176.956887,0,39176.956887,2194.46223334,2238.82493567,0,1,0.0080649,0,0,0,112
134,2025-05-15T00:00:00,40076.7465114,0,40076.7465114,2238.82493567,3506.70963707,0,1,0.0080304,0,0,0,113
135,2025-05-16T00:00:00,15130.8303973,0,15130.8303973,3506.70963707,2343.57865072,0,1,0.0070862,0,0,0,114
136,2025-05-17T00:00:00,16146.3312695,0,16146.3312695,2343.57865072,2788.19689076,0,1,0.0097262,0,0,0,115
137,2025-05-18T00:00:00,38720.0603017,0,38720.0603017,2788.19689076,3236.39360014,0,1,0.0100303,0,0,0,116
138,2025-05-19T00:00:00,37954.5177584,451.903981667,38406.4217401,3236.39360014,2461.50039076,0,1,0.0076326,0,0,0,117
139,2025-05-20T00:00:00,37914.5475735,0,37914.5475735,2461.50039076,2485.78743449,0,1,0.0077486,0,0,0,118
140,2025-05-21T00:00:00,37989.475274,0,37989.475274,2485.78743449,2568.8369364,0,1,0.0076532,0,0,0,119
141,2025-05-22T00:00:00,37016.9369699,17.333365,37034.2703349,2568.8369364,2869.57600357,0,1,0.0075261,0,0,0,120
142,2025-05-23T00:00:00,14588.5476458,0,14588.5476458,2869.57600357,2455.65213685,0,1,0.0101236,0,0,0,121
143,2025-05-24T00:00:00,15421.9189879,0,15421.9189879,2455.65213685,2874.34786,0,1,0.0099768,0,0,0,122
144,2025-05-25T00:00:00,37276.4183099,0,37276.4183099,2874.34786,2742.08912871,0,1,0.0080261,0,0,0,123
145,2025-05-26T00:00:00,36868.5286715,0,36868.5286715,2742.08912871,2378.53346042,0,1,0.0080491,0,0,0,124
146,2025-05-27T00:00:00,36655.0404819,0,36655.0404819,2378.53346042,2177.1665402,0,1,0.0081066,0,0,0,125
147,2025-05-28T00:00:00,37028.631122,0,37028.631122,2177.1665402,2548.47416775,0,1,0.008244,0,0,0,126
148,2025-05-29T00:00:00,35787.4917115,119.777695583,35907.2694071,2548.47416775,2038.55115619,0,1,0.0081294,0,0,0,127
149,2025-05-30T00:00:00,14649.038504,0,14649.038504,2038.55115619,2330.65597953,0,1,0.0075149,0,0,0,128
150,2025-05-31T00:00:00,14926.2161175,0,14926.2161175,2330.65597953,2520.39429481,0,1,0.0074416,0,0,0,129
151,2025-06-01T00:00:00,37187.4640867,70289.9951508,107477.459237,2520.39429481,1200,0,1,0.0072392,0,0,0,130
152,2025-06-02T00:00:00,38433.058136,55396.0020092,93829.0601451,1200,1200,0,1,0.0071482,0,0,0,131
153,2025-06-03T00:00:00,47298.9143262,717.554766529,48016.4690927,1200,1332.04125131,0,1,0.0075768,0,0,0,132
154,2025-06-04T00:00:00,47836.2936332,983.263838746,48819.5574719,1332.04125131,1290.56108919,0,1,0.0107823,0,0,0,133
155,2025-06-05T00:00:00,49370.4578696,1327.00380248,50697.4616721,1290.56108919,1200,0,1,0.0082754,0,0,0,134
156,2025-06-06T00:00:00,20227.3799464,8955.69208716,29183.0720335,1200,1214.85537816,0,1,0.0073324,0,0,0,135
157,2025-06-07T00:00:00,22335.962132,0,22335.962132,1214.85537816,1606.5757283,0,1,0.0079199,0,0,0,136
158,2025-06-08T00:00:00,59918.1243602,0,59918.1243602,1606.5757283,3676.56501938,0,1,0.0082762,0,0,0,137
159,2025-06-09T00:00:00,51016.8386738,184.234244255,51201.0729181,3676.56501938,2104.58683332,0,1,0.0084977,0,0,0,138
160,2025-06-10T00:00:00,52370.7502681,0,52370.7502681,2104.58683332,2481.52978879,0,1,0.0079362,0,0,0,139
161,2025-06-11T00:00:00,51766.6370766,1919.89694062,53686.5340173,2481.52978879,1936.0375693,0,1,0.0079227,0,0,0,140
162,2025-06-12T00:00:00,54727.006681,0,54727.006681,1936.0375693,2702.12160851,0,1,0.0081375,0,0,0,141
163,2025-06-13T00:00:00,20677.6498919,0,20677.6498919,2702.12160851,2130.17467427,0,1,0.0090195,0,0,0,142
164,2025-06-14T00:00:00,21777.6116088,0,21777.6116088,2130.17467427,2211.08910504,0,1,0.0111879,0,0,0,143
165,2025-06-15T00:00:00,58345.4535477,0,58345.4535477,2211.08910504,4696.03929943,0,1,0.0125672,0,0,0,144
166,2025-06-16T00:00:00,54536.3261579,0,54536.3261579,4696.03929943,3822.15920136,0,1,0.0087635,0,0,0,145
167,2025-06-17T00:00:00,54588.916721,0,54588.916721,3822.15920136,3129.89878284,0,1,0.0107976,0,0,0,146
168,2025-06-18T00:00:00,54833.2534252,0,54833.2534252,3129.89878284,3643.72859711,0,1,0.0138223,0,0,0,147
169,2025-06-19T00:00:00,53616.4140978,150.811726605,53767.2258244,3643.72859711,3318.44588464,0,1,0.015396,0,0,0,148
170,2025-06-20T00:00:00,21206.7551406,0,21206.7551406,3318.44588464,3045.90359273,0,1,0.0082932,0,0,0,149
171,2025-06-21T00:00:00,21552.7735951,0,21552.7735951,3045.90359273,3747.23706411,0,1,0.0098333,0,0,0,150
172,2025-06-22T00:00:00,49784.6966305,0,49784.6966305,3747.23706411,3050.35313927,0,1,0.0130349,0,0,0,151
173,2025-06-23T00:00:00,49295.6825359,0,49295.6825359,3050.35313927,2582.84426799,0,1,0.0074855,0,0,0,152
174,2025-06-24T00:00:00,48002.9330612,21833.7427205,69836.6757817,2582.84426799,2105.39996141,0,1,0.0103347,0,0,0,153
175,2025-06-25T00:00:00,50753.3200012,0,50753.3200012,2105.39996141,2723.93214019,0,1,0.0125692,0,0,0,154
176,2025-06-26T00:00:00,50383.1580571,125.951281582,50509.1093386,2723.93214019,2342.95308364,0,1,0.0080589,0,0,0,155
177,2025-06-27T00:00:00,19369.1854478,0,19369.1854478,2342.95308364,2358.96539742,0,1,0.0135494,0,0,0,156
178,2025-06-28T00:00:00,19761.5646711,0,19761.5646711,2358.96539742,2558.91345944,0,1,0.0127063,0,0,0,157
179,2025-06-29T00:00:00,49205.9627156,65.2376163956,49271.200332,2558.91345944,2804.7273378,0,1,0.012448,0,0,0,158
180,2025-06-30T00:00:00,48875.3416776,534.379238011,49409.7209156,2804.7273378,1921.59002499,0,1,0.0110193,0,0,0,159
181,2025-07-01T00:00:00,48617.2934274,24469.1448899,73086.4383173,1921.59002499,1200,0,1,0.0078802,0,0,0,160
182,2025-07-02T00:00:00,53420.4120195,4786.31346717,58206.7254867,1200,1200,0,1,0.0077268,0,0,0,161
183,2025-07-03T00:00:00,55619.9638297,756.652891053,56376.6167208,1200,1357.99940879,0,1,0.0074248,0,0,0,162
184,2025-07-04T00:00:00,25703.8330994,849.271008135,26553.1041075,1357.99940879,1200,0,1,0.0102791,0,0,0,163
185,2025-07-05T00:00:00,25702.4032984,0,25702.4032984,1200,1472.85916277,0,1,0.0073114,0,0,0,164
186,2025-07-06T00:00:00,52520.7585814,18849.8689014,71370.6274828,1472.85916277,1478.9889872,0,1,0.0078566,0,0,0,165
187,2025-07-07T00:00:00,55087.3082472,391.110036505,55478.4182837,1478.9889872,1869.68647768,0,1,0.0086427,0,0,0,166
188,2025-07-08T00:00:00,62081.5400004,0,62081.5400004,1869.68647768,4834.52260487,0,1,0.0084633,0,0,0,167
189,2025-07-09T00:00:00,53661.8581664,94.6865363568,53756.5447027,4834.52260487,2867.00808469,0,1,0.0092556,0,0,0,168
190,2025-07-10T00:00:00,54226.231701,261.999941813,54488.2316428,2867.00808469,2486.2518936,0,1,0.0116001,0,0,0,169
191,2025-07-11T00:00:00,25302.85543,74.2390342799,25377.0944642,2486.2518936,1794.62317887,0,1,0.0084285,0,0,0,170
192,2025-07-12T00:00:00,26375.8402794,0,26375.8402794,1794.62317887,2097.72774393,0,1,0.0088447,0,0,0,171
193,2025-07-13T00:00:00,53926.0550565,333.126345622,54259.1814021,2097.72774393,2269.07240617,0,1,0.0141691,0,0,0,172
194,2025-07-14T00:00:00,51823.2997895,430.914199215,52254.2139887,2269.07240617,1936.40777792,0,1,0.0079718,0,0,0,173
195,2025-07-15T00:00:00,62669.9752239,0,62669.9752239,1936.40777792,5629.16018111,0,1,0.0111971,0,0,0,174
196,2025-07-16T00:00:00,55454.8290892,0,55454.8290892,5629.16018111,3753.81049222,0,1,0.0077519,0,0,0,175
197,2025-07-17T00:00:00,56318.1491725,0,56318.1491725,3753.81049222,3721.18363925,0,1,0.0077055,0,0,0,176
198,2025-07-18T00:00:00,27188.144257,0,27188.144257,3721.18363925,3239.90394049,0,1,0.0081785,0,0,0,177
199,2025-07-19T00:00:00,27622.825251,0,27622.825251,3239.90394049,3174.24630127,0,1,0.0080863,0,0,0,178
200,2025-07-20T00:00:00,54342.1801844,0,54342.1801844,3174.24630127,3986.73606538,0,1,0.0084953,0,0,0,179
201,2025-07-21T00:00:00,55187.9563188,0,55187.9563188,3986.73606538,3597.14488354,0,1,0.0081897,0,0,0,180
202,2025-07-22T00:00:00,54115.3120942,2.21708888601,54117.529183,3597.14488354,2725.9153052,0,1,0.0168468,0,0,0,181
203,2025-07-23T00:00:00,54226.9241561,0,54226.9241561,2725.9153052,2678.13582562,0,1,0.008586,0,0,0,182
204,2025-07-24T00:00:00,53934.3155159,0,53934.3155159,2678.13582562,3058.13689308,0,1,0.0078674,0,0,0,183
205,2025-07-25T00:00:00,25127.8145205,0,25127.8145205,3058.13689308,1969.12689737,0,1,0.0092579,0,0,0,184
206,2025-07-26T00:00:00,26454.6763778,0,26454.6763778,1969.12689737,2629.87156929,0,1,0.0094367,0,0,0,185
207,2025-07-27T00:00:00,52947.2408854,1158.69368776,54105.9345731,2629.87156929,3268.93548717,0,1,0.008119,0,0,0,186
208,2025-07-28T00:00:00,53037.6293915,0,53037.6293915,3268.93548717,2521.36491063,0,1,0.0088712,0,0,0,187
209,2025-07-29T00:00:00,53424.7396809,306.519878018,53731.2595589,2521.36491063,2463.2838369,0,1,0.0119211,0,0,0,188
210,2025-07-30T00:00:00,51730.4914713,0,51730.4914713,2463.2838369,2001.59248546,0,1,0.0091309,0,0,0,189
211,2025-07-31T00:00:00,51750.6557333,173.041293275,51923.6970266,2001.59248546,1759.00271116,0,1,0.0079084,0,0,0,190
212,2025-08-01T00:00:00,23210.4719631,2784.39151175,25994.8634749,1759.00271116,1294.67079788,0,1,0.007927,0,0,0,191
213,2025-08-02T00:00:00,25646.8387778,0,25646.8387778,1294.67079788,2455.42850799,0,1,0.0083004,0,0,0,192
214,2025-08-03T00:00:00,48557.8164274,1631.07579572,50188.8922231,2455.42850799,1442.4048718,0,1,0.0121295,0,0,0,193
215,2025-08-04T00:00:00,47571.5153151,200.605368551,47772.1206837,1442.4048718,1809.78731818,0,1,0.0080504,0,0,0,194
216,2025-08-05T00:00:00,46968.5134881,0,46968.5134881,1809.78731818,1692.12459624,0,1,0.0077767,0,0,0,195
217,2025-08-06T00:00:00,46770.4773622,7031.3861836,53801.8635458,1692.12459624,1208.04338546,0,1,0.0078251,0,0,0,196
218,2025-08-07T00:00:00,48375.5835666,137.990248798,48513.5738154,1208.04338546,1658.33027359,0,1,0.0088029,0,0,0,197
219,2025-08-08T00:00:00,23487.506576,0,23487.506576,1658.33027359,1697.40691015,0,1,0.0083004,0,0,0,198
220,2025-08-09T00:00:00,22858.9162173,0,22858.9162173,1697.40691015,1421.24402931,0,1,0.0088442,0,0,0,199
221,2025-08-10T00:00:00,46717.252913,0,46717.252913,1421.24402931,2290.82196704,0,1,0.0077004,0,0,0,200
222,2025-08-11T00:00:00,47323.6741645,667.757302417,47991.4314669,2290.82196704,1930.39864668,0,1,0.0099111,0,0,0,201
223,2025-08-12T00:00:00,46003.3358391,5827.31088839,51830.6467275,1930.39864668,1645.37159343,0,1,0.0119743,0,0,0,202
224,2025-08-13T00:00:00,47533.8050191,512.846995179,48046.6520143,1645.37159343,2207.37437839,0,1,0.0110356,0,0,0,203
225,2025-08-14T00:00:00,46710.7432828,483.693606292,47194.4368891,2207.37437839,1777.6786903,0,1,0.0106117,0,0,0,204
226,2025-08-15T00:00:00,23462.6859953,0,23462.6859953,1777.6786903,1685.83891854,0,1,0.0085417,0,0,0,205
227,2025-08-16T00:00:00,23016.9173976,0,23016.9173976,1685.83891854,1537.97590108,0,1,0.0077584,0,0,0,206
228,2025-08-17T00:00:00,45745.8745608,252.145149304,45998.0197101,1537.97590108,2288.78227166,0,1,0.0126673,0,0,0,207
229,2025-08-18T00:00:00,45547.2962986,1268.11578647,46815.4120851,2288.78227166,2156.52708597,0,1,0.0075425,0,0,0,208
230,2025-08-19T00:00:00,45693.6533286,991.078636006,46684.7319646,2156.52708597,1966.61445732,0,1,0.0076553,0,0,0,209
231,2025-08-20T00:00:00,46039.3857062,17592.0594098,63631.445116,1966.61445732,1718.71422864,0,1,0.0088264,0,0,0,210
232,2025-08-21T00:00:00,47859.8751456,54.4231909736,47914.2983366,1718.71422864,2071.45432356,0,1,0.0126892,0,0,0,211
233,2025-08-22T00:00:00,22981.8992181,1592.08993065,24573.9891488,2071.45432356,1370.03408112,0,1,0.0102402,0,0,0,212
234,2025-08-23T00:00:00,23772.7621143,0,23772.7621143,1370.03408112,1737.29387432,0,1,0.0078809,0,0,0,213
235,2025-08-24T00:00:00,47438.1460475,0,47438.1460475,1737.29387432,2022.68035568,0,1,0.0079519,0,0,0,214
236,2025-08-25T00:00:00,46981.7052768,8992.76356502,55974.4688418,2022.68035568,1662.80147615,0,1,0.0099201,0,0,0,215
237,2025-08-26T00:00:00,48342.6894572,0,48342.6894572,1662.80147615,2343.34106045,0,1,0.007874,0,0,0,216
238,2025-08-27T00:00:00,47625.3259069,55.8626895197,47681.1885964,2343.34106045,1925.31520433,0,1,0.0126705,0,0,0,217
239,2025-08-28T00:00:00,48188.9621526,706.602470651,48895.5646232,1925.31520433,1743.82846815,0,1,0.0125028,0,0,0,218
240,2025-08-29T00:00:00,24507.0757139,0,24507.0757139,1743.82846815,1927.93145079,0,1,0.0075654,0,0,0,219
241,2025-08-30T00:00:00,24519.0912306,0,24519.0912306,1927.93145079,1746.29897075,0,1,0.0117418,0,0,0,220
242,2025-08-31T00:00:00,48236.2889378,183.392666406,48419.6816043,1746.29897075,2538.02599364,0,1,0.0103145,0,0,0,221
243,2025-09-01T00:00:00,48042.8424123,0,48042.8424123,2538.02599364,5797.24953463,0,1,0.0078342,0,0,0,222
244,2025-09-02T00:00:00,39415.838442,0,39415.838442,5797.24953463,3489.36375267,0,1,0.0123956,0,0,0,223
245,2025-09-03T00:00:00,39597.63816,0,39597.63816,3489.36375267,3069.16556265,0,1,0.0076928,0,0,0,224
