t,source_timestamp,canonical_start,canonical_end,price,load_power,pv_power,load_energy,pv_energy,q,c,s,w,E_start,E_end,charge_power,discharge_power,purchase_cost
14,02:20,02:10,02:20,0.43240000000000001,3512.6387,0,585.43978333333325,0,585.43978333333325,0,0,0,10050,10050,0,0,253.14416231333331
15,02:30,02:20,02:30,0.43669999999999998,3516.8685,0,586.14474999999993,0,586.14474999999993,0,0,0,10050,10050,0,0,255.96941232499995
16,02:40,02:30,02:40,0.43480000000000002,3517.9245999999998,0,586.3207666666666,0,586.3207666666666,0,0,0,10050,10050,0,0,254.93226934666666
17,02:50,02:40,02:50,0.4335,3518.5518000000002,0,586.42529999999999,0,586.42529999999999,0,0,0,10050,10050,0,0,254.21536755
18,03:00,02:50,03:00,0.43569999999999998,3521.0976000000001,0,586.84960000000001,0,586.84960000000001,0,0,0,10050,10050,0,0,255.69037072
19,03:10,03:00,03:10,0.43740000000000001,3526.9261000000001,0,587.82101666666665,0,587.82101666666665,0,0,0,10050,10050,0,0,257.11291268999997
20,03:20,03:10,03:20,0.43709999999999999,3537.2854000000002,0,589.54756666666663,0,589.54756666666663,0,0,0,10050,10050,0,0,257.69124138999996
21,03:30,03:20,03:30,0.43559999999999999,3544.8807999999999,0,590.81346666666661,0,590.81346666666661,0,0,0,10050,10050,0,0,257.35834607999999
22,03:40,03:30,03:40,0.43530000000000002,3541.2786999999998,0,590.21311666666656,0,590.21311666666656,0,0,0,10050,10050,0,0,256.91976968499995
23,03:50,03:40,03:50,0.436,3546.3975999999998,0,591.06626666666659,0,591.06626666666659,0,0,0,10050,10050,0,0,257.70489226666666
24,04:00,03:50,04:00,0.43780000000000002,3560.2069999999999,0,593.36783333333324,0,593.36783333333324,0,0,0,10050,10050,0,0,259.77643743333329
25,04:10,04:00,04:10,0.44009999999999999,3561.9580999999998,0,593.65968333333331,0,593.65968333333331,0,0,0,10050,10050,0,0,261.26962663500001
26,04:20,04:10,04:20,0.43890000000000001,3556.7183,0,592.78638333333333,0,592.78638333333333,0,0,0,10050,10050,0,0,260.17394364500001
27,04:30,04:20,04:30,0.43640000000000001,3560.0272,0,593.33786666666663,0,593.33786666666663,0,0,0,10050,10050,0,0,258.93264501333334
28,04:40,04:30,04:40,0.43930000000000002,3580.654,0.59940000000000004,596.77566666666667,0.099900000000000003,596.67576666666662,0,0,0,10050,10050,0,0,262.11966429666666
29,04:50,04:40,04:50,0.44219999999999998,3586.9160000000002,0.23449999999999999,597.81933333333336,0.039083333333333331,597.78025000000002,0,0,0,10050,10050,0,0,264.33842655000001
30,05:00,04:50,05:00,0.4395,3571.2635,0.28849999999999998,595.21058333333326,0.048083333333333325,595.16249999999991,0,0,0,10050,10050,0,0,261.57391874999996
31,05:10,05:00,05:10,0.43330000000000002,3562.3171000000002,18.678100000000001,593.71951666666666,3.1130166666666668,590.60649999999998,0,0,0,10050,10050,0,0,255.90979645000002
32,05:20,05:10,05:20,0.44390000000000002,3591.3809000000001,54.469799999999999,598.56348333333335,9.0782999999999987,589.48518333333334,0,0,0,10050,10050,0,0,261.67247288166669
33,05:30,05:20,05:30,0.43009999999999998,3579.7044999999998,108.9718,596.6174166666666,18.161966666666665,578.45544999999993,0,0,0,10050,10050,0,0,248.79368904499995
34,05:40,05:30,05:40,0.37130000000000002,3486.1190000000001,184.16030000000001,581.01983333333328,30.693383333333333,1383.6597833333331,833.33333333333326,0,0,10050,10800,5000,0,513.75287755166664
35,05:50,05:40,05:50,0.57079999999999997,3823.8993999999998,277.0582,637.31656666666663,46.176366666666667,591.14019999999994,0,-0,0,10800,10800,0,-0,337.42282615999994
36,06:00,05:50,06:00,0.90990000000000004,4398.0726999999997,388.54939999999999,733.01211666666654,64.758233333333322,0,0,668.25388333333319,0,10800,10057.495685185186,0,4009.5232999999994,0
37,06:10,06:00,06:10,0.93679999999999997,4454.0123000000003,521.28030000000001,742.33538333333331,86.880049999999997,0,0,655.45533333333333,0,10057.495685185186,9329.2119814814814,0,3932.732,0
38,06:20,06:10,06:20,0.87580000000000002,4371.7919000000002,672.76769999999999,728.63198333333332,112.12795,0,0,616.50403333333338,0,9329.2119814814814,8644.2075000000004,0,3699.0242000000003,0
39,06:30,06:20,06:30,0.87590000000000001,4392.9530000000004,844.22609999999997,732.1588333333334,140.70434999999998,0,0,591.45448333333343,0,8644.2075000000004,7987.0358518518524,0,3548.7269000000006,0
40,06:40,06:30,06:40,0.86009999999999998,4384.5955999999996,1039.6744000000001,730.76593333333324,173.27906666666667,0,0,557.48686666666663,0,7987.0358518518524,7367.6060000000007,0,3344.9211999999998,0
41,06:50,06:40,06:50,0.84419999999999995,4434.7757000000001,1259.3375000000001,739.12928333333332,209.88958333333335,0,0,529.23969999999997,0,7367.6060000000007,6779.5618888888894,0,3175.4382000000001,0
42,07:00,06:50,07:00,0.83340000000000003,4523.4561000000003,1508.6318000000001,753.90935000000002,251.43863333333334,0,0,502.4707166666667,0,6779.5618888888894,6221.2610925925928,0,3014.8243000000002,0
43,07:10,07:00,07:10,0.80920000000000003,4524.0721000000003,1791.4106999999999,754.01201666666668,298.56844999999998,0,0,455.4435666666667,0,6221.2610925925928,5715.2126851851854,0,2732.6614000000004,0
44,07:20,07:10,07:20,0.79720000000000002,4545.8867,2085.4865,757.64778333333334,347.58108333333331,0,0,410.06670000000003,0,5715.2126851851854,5259.5830185185187,0,2460.4002000000005,0
45,07:30,07:20,07:30,0.76439999999999997,4523.2417999999998,2381.2611000000002,753.87363333333326,396.87684999999999,0,0,356.99678333333327,0,5259.5830185185187,4862.9199259259258,0,2141.9806999999996,0
46,07:40,07:30,07:40,0.68989999999999996,4383.3566000000001,2683.1752000000001,730.55943333333335,447.19586666666669,0,0,283.36356666666666,0,4862.9199259259258,4548.0715185185181,0,1700.1813999999999,0
47,07:50,07:40,07:50,0.85999999999999999,4910.4598999999998,2986.3552,818.40998333333323,497.72586666666666,0,0,320.68411666666657,0,4548.0715185185181,4191.7558333333327,0,1924.1046999999994,0
48,08:00,07:50,08:00,1.1617,5799.7326999999996,3289.2040000000002,966.62211666666656,548.20066666666662,0,0,418.42144999999994,0,4191.7558333333327,3726.8431111111104,0,2510.5286999999998,0
49,08:10,08:00,08:10,1.1682999999999999,5884.826,3593.3613,980.80433333333326,598.89355,0,0,381.91078333333326,0,3726.8431111111104,3302.4977962962957,0,2291.4646999999995,0
50,08:20,08:10,08:20,1.0955999999999999,5748.0712999999996,3890.7332000000001,958.01188333333323,648.45553333333328,0,0,309.55634999999995,0,3302.4977962962957,2958.5462962962956,0,1857.3380999999997,0
51,08:30,08:20,08:30,1.0849,5769.0581000000002,4181.3416999999999,961.50968333333333,696.89028333333329,0,0,264.61940000000004,0,2958.5462962962956,2664.5247407407401,0,1587.7164000000002,0
52,08:40,08:30,08:40,1.0609999999999999,5754.2105000000001,4471.7656999999999,959.03508333333332,745.29428333333328,0,0,213.74080000000004,0,2664.5247407407401,2427.0349629629623,0,1282.4448000000002,0
53,08:50,08:40,08:50,1.0429999999999999,5824.1806999999999,4752.8271999999997,970.69678333333331,792.13786666666658,0,0,178.55891666666673,0,2427.0349629629623,2228.6361666666658,0,1071.3535000000004,0
54,09:00,08:50,09:00,1.036,5954.2601000000004,5021.9074000000001,992.3766833333334,836.98456666666664,0,0,155.39211666666677,0,2228.6361666666658,2055.9782592592583,0,932.3527000000006,0
55,09:10,09:00,09:10,1.0146999999999999,5958.9696000000004,5285.4125999999997,993.16160000000002,880.9020999999999,0,0,112.25950000000012,0,2055.9782592592583,1931.2454814814803,0,673.5570000000007,0
56,09:20,09:10,09:20,0.99219999999999997,5929.5554000000002,5543.1742000000004,988.25923333333333,923.86236666666673,0,0,64.396866666666597,0,1931.2454814814803,1859.6934074074063,0,386.38119999999958,0
57,09:30,09:20,09:30,0.96999999999999997,5923.7828,5788.4093000000003,987.29713333333325,964.7348833333333,0,0,22.562249999999949,0,1859.6934074074063,1834.6242407407397,0,135.37349999999969,0
58,09:40,09:30,09:40,0.94220000000000004,5907.5860000000002,6012.1304,984.59766666666667,1002.0217333333333,0,17.42406666666659,0,0,1834.6242407407397,1850.3059007407396,104.54439999999954,0,0
59,09:50,09:40,09:50,0.95689999999999997,5899.1261999999997,6216.1527999999998,983.18769999999995,1036.0254666666665,0,52.837766666666539,0,0,1850.3059007407396,1897.8598907407395,317.02659999999923,0,0
60,10:00,09:50,10:00,0.99770000000000003,5902.2196000000004,6409.5941000000003,983.70326666666665,1068.2656833333333,0,84.56241666666665,0,0,1897.8598907407395,1973.9660657407394,507.3744999999999,0,0
61,10:10,10:00,10:10,0.9919,5897.4793,6599.3807999999999,982.91321666666659,1099.8968,0,116.9835833333334,0,0,1973.9660657407394,2079.2512907407395,701.9015000000004,0,0
62,10:20,10:10,10:20,0.95879999999999999,5886.7568000000001,6766.7204000000002,981.12613333333331,1127.7867333333334,0,146.66060000000004,0,0,2079.2512907407395,2211.2458307407396,879.96360000000027,0,0
63,10:30,10:20,10:30,0.95489999999999997,5873.4708000000001,6914.5923000000003,978.91179999999997,1152.4320499999999,0,173.52024999999992,0,0,2211.2458307407396,2367.4140557407395,1041.1214999999995,0,0
64,10:40,10:30,10:40,0.9839,5858.0308000000005,7064.2052999999996,976.3384666666667,1177.3675499999999,0,201.02908333333323,0,0,2367.4140557407395,2548.3402307407396,1206.1744999999994,0,0
65,10:50,10:40,10:50,0.79900000000000004,5844.9948000000004,7197.4314999999997,974.16579999999999,1199.5719166666665,0,225.40611666666655,0,0,2548.3402307407396,2751.2057357407393,1352.4366999999993,0,0
66,11:00,10:50,11:00,0.50249999999999995,5839.0586999999996,7303.1142,973.17644999999993,1217.1857,0,244.00925000000007,0,0,2751.2057357407393,2970.8140607407395,1464.0555000000004,0,0
67,11:10,11:00,11:10,0.4662,5838.7102999999997,7387.6848,973.11838333333321,1231.2808,575.17091666666647,833.33333333333326,0,0,2970.8140607407395,3720.8140607407395,5000,0,268.14468134999993
68,11:20,11:10,11:20,0.50070000000000003,5823.4377999999997,7459.2269999999999,970.57296666666662,1243.2044999999998,0,272.63153333333321,0,0,3720.8140607407395,3966.1824407407394,1635.7891999999993,0,0
69,11:30,11:20,11:30,0.48270000000000002,5814.7932000000001,7520.7191000000003,969.13220000000001,1253.4531833333333,0,284.32098333333329,0,0,3966.1824407407394,4222.0713257407397,1705.9258999999997,0,0
70,11:40,11:30,11:40,0.47849999999999998,5832.3950999999997,7568.2039000000004,972.06584999999995,1261.3673166666667,179.27717139918269,468.57863806584947,0,0,4222.0713257407397,4643.7921000000042,2811.471828395097,0,85.784126514508912
71,11:50,11:40,11:50,0.4662,5712.9009999999998,7592.1539000000002,952.15016666666656,1265.3589833333333,520.12451666666652,833.33333333333326,0,0,4643.7921000000042,5393.7921000000042,5000,0,242.48204966999992
72,12:00,11:50,12:00,0.44319999999999998,5519.4606999999996,7601.0433000000003,919.91011666666657,1266.8405499999999,486.40289999999993,833.33333333333326,0,0,5393.7921000000042,6143.7921000000042,5000,0,215.57376527999998
73,12:10,12:00,12:10,0.44109999999999999,5494.7906999999996,7612.3159999999998,915.79844999999989,1268.7193333333332,480.41244999999992,833.33333333333326,0,0,6143.7921000000042,6893.7921000000042,5000,0,211.90993169499995
74,12:20,12:10,12:20,0.4551,5514.4524000000001,7602.6523999999999,919.07539999999995,1267.1087333333332,485.29999999999995,833.33333333333326,0,0,6893.7921000000042,7643.7921000000042,5000,0,220.86002999999999
75,12:30,12:20,12:30,0.44629999999999997,5485.8289999999997,7554.1872000000003,914.30483333333325,1259.0311999999999,488.60696666666661,833.33333333333326,0,0,7643.7921000000042,8393.7921000000042,5000,0,218.06528922333328
76,12:40,12:30,12:40,0.4113,5462.3627999999999,7472.7384000000002,910.39379999999994,1245.4564,498.27073333333317,833.33333333333326,0,0,8393.7921000000042,9143.7921000000042,5000,0,204.93875261999995
77,12:50,12:40,12:50,0.56820000000000004,5566.1066000000001,7393.4171999999999,927.68443333333335,1232.2361999999998,0,304.55176666666648,0,0,9143.7921000000042,9417.8886900000034,1827.3105999999989,0,0
78,13:00,12:50,13:00,0.82789999999999997,5725.7547999999997,7312.7978999999996,954.29246666666654,1218.7996499999999,0,264.50718333333339,0,0,9417.8886900000034,9655.9451550000031,1587.0431000000003,0,0
79,13:10,13:00,13:10,0.86360000000000003,5739.4957000000004,7194.5410000000002,956.58261666666669,1199.0901666666666,0,242.50754999999992,0,0,9655.9451550000031,9874.2019500000024,1455.0452999999995,0,0
80,13:20,13:10,13:20,0.84160000000000001,5714.6836000000003,7053.1370999999999,952.44726666666668,1175.5228499999998,0,223.07558333333316,0,0,9874.2019500000024,10074.969975000002,1338.4534999999989,0,0
81,13:30,13:20,13:30,0.86180000000000001,5717.8504999999996,6910.4063999999998,952.97508333333326,1151.7343999999998,0,198.75931666666656,0,0,10074.969975000002,10253.853360000001,1192.5558999999994,0,0
82,13:40,13:30,13:40,0.86229999999999996,5708.2485999999999,6772.4075000000003,951.37476666666657,1128.7345833333334,0,177.3598166666668,0,0,10253.853360000001,10413.477195000001,1064.1589000000008,0,0
83,13:50,13:40,13:50,0.90259999999999996,5696.9182000000001,6607.3599999999997,949.48636666666664,1101.2266666666665,0,151.74029999999982,0,0,10413.477195000001,10550.043465000001,910.44179999999892,0,0
84,14:00,13:50,14:00,0.97540000000000004,5692.2983000000004,6412.5084999999999,948.7163833333334,1068.7514166666665,0,120.0350333333331,0,0,10550.043465000001,10658.074995000001,720.21019999999862,0,0
85,14:10,14:00,14:10,1.0002,5687.1291000000001,6214.0158000000001,947.85484999999994,1035.6693,0,87.814450000000079,0,0,10658.074995000001,10737.108,526.88670000000047,0,0
86,14:20,14:10,14:20,0.99780000000000002,5678.9620000000004,6000.7111999999997,946.49366666666674,1000.1185333333333,0,53.624866666666549,0,0,10737.108,10785.37038,321.74919999999929,0,0
87,14:30,14:20,14:30,1.0270999999999999,5669.4507999999996,5766.9816000000001,944.90846666666653,961.16359999999997,0,16.255133333333447,0,0,10785.37038,10800,97.530800000000681,0,0
88,14:40,14:30,14:40,1.0906,5664.1948000000002,5521.5065999999997,944.03246666666666,920.25109999999995,0,0,23.781366666666713,0,10800,10773.57625925926,0,142.68820000000028,0
89,14:50,14:40,14:50,0.93759999999999999,5672.7011000000002,5268.7809999999999,945.45018333333337,878.13016666666658,0,0,67.320016666666788,0,10773.57625925926,10698.776240740741,0,403.92010000000073,0
90,15:00,14:50,15:00,0.6694,5682.2543999999998,5009.7151999999996,947.04239999999993,834.95253333333324,112.08986666666669,0,0,0,10698.776240740741,10698.776240740741,0,0,75.032956746666684
91,15:10,15:00,15:10,0.66000000000000003,5669.0195000000003,4743.4484000000002,944.83658333333335,790.57473333333337,266.73269362139905,112.47084362139907,0,0,10698.776240740741,10800,674.82506172839442,0,176.04357779012338
92,15:20,15:10,15:20,0.72170000000000001,5656.3651,4471.2240000000002,942.72751666666659,745.20399999999995,197.52351666666664,0,0,0,10800,10800,0,0,142.55272197833332
93,15:30,15:20,15:30,0.73080000000000001,5657.0866999999998,4188.2025000000003,942.84778333333327,698.03375000000005,244.81403333333321,0,0,0,10800,10800,0,0,178.91009555999992
94,15:40,15:30,15:40,0.75339999999999996,5662.6008000000002,3889.3930999999998,943.76679999999999,648.2321833333333,295.53461666666669,0,0,0,10800,10800,0,0,222.65578019666668
95,15:50,15:40,15:50,0.7823,5669.2596000000003,3594.5945999999999,944.87660000000005,599.09909999999991,345.77750000000015,0,0,0,10800,10800,0,0,270.50173825000013
96,16:00,15:50,16:00,0.80549999999999999,5673.4767000000002,3303.8878,945.57944999999995,550.64796666666666,394.93148333333329,0,0,0,10800,10800,0,0,318.11730982499995
97,16:10,16:00,16:10,0.82709999999999995,5671.0146000000004,2998.4247,945.16910000000007,499.73744999999997,445.4316500000001,0,0,0,10800,10800,0,0,368.41651771500005
98,16:20,16:10,16:20,0.85189999999999999,5661.5925999999999,2687.4131000000002,943.59876666666662,447.90218333333337,495.69658333333325,0,0,0,10800,10800,0,0,422.2839193416666
99,16:30,16:20,16:30,0.87909999999999999,5665.8922000000002,2383.1779000000001,944.3153666666667,397.19631666666669,547.11905000000002,0,0,0,10800,10800,0,0,480.97235685499999
100,16:40,16:30,16:40,0.90239999999999998,5689.0371999999998,2089.1246000000001,948.17286666666655,348.18743333333333,599.98543333333328,0,-0,0,10800,10800,0,-0,541.42685503999996
101,16:50,16:40,16:50,0.9163,5603.6614,1791.0829000000001,933.94356666666658,298.51381666666668,635.4297499999999,0,-0,0,10800,10800,0,-0,582.24427992499989
102,17:00,16:50,17:00,0.9264,5466.7124000000003,1501.7283,911.11873333333335,250.28805,660.83068333333335,0,-0,0,10800,10800,0,-0,612.19354504
103,17:10,17:00,17:10,0.94620000000000004,5467.3939,1255.1723,911.23231666666663,209.19538333333333,702.03693333333331,0,-0,0,10800,10800,0,-0,664.26734632
104,17:20,17:10,17:20,0.97419999999999995,5464.7269999999999,1036.3323,910.78783333333331,172.72205,738.06578333333334,0,-0,0,10800,10800,0,-0,719.02368612333328
105,17:30,17:20,17:30,0.98619999999999997,5492.4458000000004,836.77750000000003,915.40763333333337,139.46291666666667,775.94471666666664,0,-0,0,10800,10800,0,-0,765.23667957666657
106,17:40,17:30,17:40,0.97599999999999998,5621.7308000000003,665.23130000000003,936.95513333333338,110.87188333333333,826.08325000000002,0,0,0,10800,10800,0,0,806.25725199999999
107,17:50,17:40,17:50,1.0742,5091.2125999999998,516.67579999999998,848.53543333333323,86.112633333333321,762.42279999999994,0,-0,0,10800,10800,0,-0,818.99457175999999
108,18:00,17:50,18:00,1.2313000000000001,4208.5688,386.67309999999998,701.42813333333334,64.445516666666663,636.98261666666667,0,-0,0,10800,10800,0,-0,784.31669590166666
109,18:10,18:00,18:10,1.2561,4122.7610999999997,275.79329999999999,687.12684999999988,45.965549999999993,531.89404999999988,0,109.26725000000005,0,10800,10678.591944444444,0,655.60350000000028,668.11211620499989
110,18:20,18:10,18:20,1.2446999999999999,4255.9358000000002,182.95259999999999,709.32263333333333,30.492099999999997,678.83053333333328,0,0,0,10678.591944444444,10678.591944444444,0,0,844.94036483999992
111,18:30,18:20,18:30,1.2544999999999999,4225.9524000000001,108.34139999999999,704.32539999999995,18.056899999999999,686.2684999999999,0,0,0,10678.591944444444,10678.591944444444,0,0,860.9238332499998
112,18:40,18:30,18:40,1.2522,4233.3383999999996,54.312100000000001,705.55639999999994,9.0520166666666668,696.50438333333329,0,0,0,10678.591944444444,10678.591944444444,0,0,872.16278880999994
113,18:50,18:40,18:50,1.2881,4246.4624999999996,18.6569,707.74374999999986,3.1094833333333334,0,0,704.63426666666658,0,10678.591944444444,9895.6649814814809,0,4227.8055999999997,0
114,19:00,18:50,19:00,1.3466,4239.1795000000002,0.27529999999999999,706.52991666666662,0.045883333333333332,0,0,706.48403333333329,0,9895.6649814814809,9110.6827222222219,0,4238.9041999999999,0
115,19:10,19:00,19:10,1.3523000000000001,4244.6683999999996,0.2296,707.44473333333326,0.038266666666666664,0,0,707.40646666666657,0,9110.6827222222219,8324.6755370370374,0,4244.4387999999999,0
116,19:20,19:10,19:20,1.3445,4251.9187000000002,0.60070000000000001,708.65311666666662,0.10011666666666666,0,0,708.553,0,8324.6755370370374,7537.394425925927,0,4251.3180000000002,0
117,19:30,19:20,19:30,1.3483000000000001,4256.6813000000002,0,709.44688333333329,0,0,0,709.44688333333329,0,7537.394425925927,6749.1201111111122,0,4256.6813000000002,0
118,19:40,19:30,19:40,1.349,4267.3946999999998,0,711.23244999999997,0,0,0,711.23244999999997,0,6749.1201111111122,5958.8618333333343,0,4267.3946999999998,0
119,19:50,19:40,19:50,1.3472999999999999,4269.9750000000004,0,711.66250000000002,0,0,0,711.66250000000002,0,5958.8618333333343,5168.125722222223,0,4269.9750000000004,0
120,20:00,19:50,20:00,1.3482000000000001,4268.6701999999996,0,711.44503333333319,0,0,0,711.44503333333319,0,5168.125722222223,4377.6312407407413,0,4268.6701999999996,0
121,20:10,20:00,20:10,1.3512999999999999,4282.2245000000003,0,713.7040833333333,0,0,0,713.7040833333333,0,4377.6312407407413,3584.6267037037042,0,4282.2245000000003,0
122,20:20,20:10,20:20,1.3400000000000001,4291.7048999999997,0,715.28414999999995,0,0,0,715.28414999999995,0,3584.6267037037042,2789.8665370370372,0,4291.7048999999997,0
123,20:30,20:20,20:30,1.3489,4291.3611000000001,0,715.22685000000001,0,0,0,715.22685000000001,0,2789.8665370370372,1995.170037037037,0,4291.3611000000001,0
124,20:40,20:30,20:40,1.3952,4293.9182000000001,0,715.65303333333327,0,0,0,715.65303333333327,0,1995.170037037037,1200,0,4293.9182000000001,0
125,20:50,20:40,20:50,1.2225999999999999,4295.2134999999998,0,715.86891666666656,0,715.86891666666656,0,-0,0,1200,1200,0,-0,875.22133751666649
126,21:00,20:50,21:00,0.93320000000000003,4302.0307000000003,0,717.00511666666671,0,717.00511666666671,0,0,0,1200,1200,0,0,669.10917487333336
127,21:10,21:00,21:10,0.90680000000000005,4320.9618,0,720.16030000000001,0,720.16030000000001,0,0,0,1200,1200,0,0,653.04136004000009
128,21:20,21:10,21:20,0.93710000000000004,4302.3292000000001,0,717.05486666666661,0,717.05486666666661,0,0,0,1200,1200,0,0,671.95211555333333
129,21:30,21:20,21:30,0.93710000000000004,4322.6758,0,720.44596666666666,0,720.44596666666666,0,0,0,1200,1200,0,0,675.12991536333334
130,21:40,21:30,21:40,0.98709999999999998,4428.8082999999997,0,738.13471666666658,0,738.13471666666658,0,-0,0,1200,1200,0,-0,728.61277882166655
131,21:50,21:40,21:50,0.77639999999999998,4030.1614,0,671.69356666666658,0,671.69356666666658,0,-0,0,1200,1200,0,-0,521.50288515999989
132,22:00,21:50,22:00,0.4209,3362.7419,0,560.45698333333326,0,1393.7903166666665,833.33333333333326,0,0,1200,1950,5000,0,586.64634428499994
133,22:10,22:00,22:10,0.38590000000000002,3309.3933999999999,0,551.56556666666665,0,1384.8988999999999,833.33333333333326,0,0,1950,2700,5000,0,534.43248550999999
134,22:20,22:10,22:20,0.43680000000000002,3412.9562999999998,0,568.8260499999999,0,568.8260499999999,0,0,0,2700,2700,0,0,248.46321863999998
135,22:30,22:20,22:30,0.41980000000000001,3381.9313000000002,0,563.65521666666666,0,1396.98855,833.33333333333326,0,0,2700,3450,5000,0,586.45579328999997
136,22:40,22:30,22:40,0.41860000000000003,3386.5592000000001,0,564.42653333333328,0,1397.7598666666665,833.33333333333326,0,0,3450,4200,5000,0,585.10228018666669
137,22:50,22:40,22:50,0.42409999999999998,3400.4845999999998,0,566.74743333333322,0,566.74743333333322,0,0,0,4200,4200,0,0,240.3575864766666
138,23:00,22:50,23:00,0.42370000000000002,3399.2426,0,566.54043333333334,0,1399.8737666666666,833.33333333333326,0,0,4200,4950,5000,0,593.12651493666669
139,23:10,23:00,23:10,0.42480000000000001,3406.9809,0,567.83015,0,567.83015,0,0,0,4950,4950,0,0,241.21424772
140,23:20,23:10,23:20,0.42399999999999999,3416.1518000000001,0,569.35863333333327,0,902.69196666666653,333.33333333333331,0,0,4950,5250,2000,0,382.74139386666661
141,23:30,23:20,23:30,0.42199999999999999,3421.9811,0,570.33018333333325,0,1403.6635166666665,833.33333333333326,0,0,5250,6000,5000,0,592.3460040333332
142,23:40,23:30,23:40,0.42399999999999999,3429.6923000000002,0,571.61538333333328,0,571.61538333333328,0,0,0,6000,6000,0,0,242.3649225333333
143,23:50,23:40,23:50,0.42709999999999998,3439.0610000000001,0,573.17683333333332,0,573.17683333333332,0,0,0,6000,6000,0,0,244.80382551666665
144,0:00+1,23:50,00:00,0.42759999999999998,3444.7258999999999,0,574.12098333333324,0,574.12098333333324,0,0,0,6000,6000,0,0,245.49413247333328
