t,interval,balance_marginal,state_marginal,soc_start_lower_marginal,soc_start_upper_marginal,soc_end_lower_marginal,soc_end_upper_marginal,charge_upper_marginal,discharge_upper_marginal
25,04:00-04:10,0.4401,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
26,04:10-04:20,0.4389,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
27,04:20-04:30,0.4364,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
28,04:30-04:40,0.4393,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
29,04:40-04:50,0.4422,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
30,04:50-05:00,0.4395,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
31,05:00-05:10,0.4333,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
32,05:10-05:20,0.4439,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
33,05:20-05:30,0.4301,-0.47544444444444445,0.0,0.0,0.0,0.0,0.0,0.0
34,05:30-05:40,0.3713,-0.47544444444444445,0.0,0.0,0.0,-0.03827555555555551,-0.056599999999999984,0.0
35,05:40-05:50,0.5708,-0.51372,0.0,-0.03827555555555551,0.0,-0.017946666666666666,0.0,0.0
36,05:50-06:00,0.5907407407407407,-0.5316666666666666,0.0,-0.017946666666666666,0.0,0.0,0.0,0.0
37,06:00-06:10,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
38,06:10-06:20,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
39,06:20-06:30,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
40,06:30-06:40,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
41,06:40-06:50,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
42,06:50-07:00,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
43,07:00-07:10,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
44,07:10-07:20,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
45,07:20-07:30,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
46,07:30-07:40,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
47,07:40-07:50,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
48,07:50-08:00,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
49,08:00-08:10,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
50,08:10-08:20,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
51,08:20-08:30,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
52,08:30-08:40,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
53,08:40-08:50,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
54,08:50-09:00,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
55,09:00-09:10,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
56,09:10-09:20,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
57,09:20-09:30,0.5907407407407407,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
58,09:30-09:40,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
59,09:40-09:50,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
60,09:50-10:00,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
61,10:00-10:10,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
62,10:10-10:20,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
63,10:20-10:30,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
64,10:30-10:40,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
65,10:40-10:50,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
66,10:50-11:00,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
67,11:00-11:10,0.4662,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.012299999999999978,0.0
68,11:10-11:20,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
69,11:20-11:30,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
70,11:30-11:40,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
71,11:40-11:50,0.4662,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.012299999999999978,0.0
72,11:50-12:00,0.4432,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.0353,0.0
73,12:00-12:10,0.4411,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.03739999999999999,0.0
74,12:10-12:20,0.4551,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.023399999999999976,0.0
75,12:20-12:30,0.4463,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.032200000000000006,0.0
76,12:30-12:40,0.4113,-0.5316666666666666,0.0,0.0,0.0,0.0,-0.06719999999999998,0.0
77,12:40-12:50,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
78,12:50-13:00,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
79,13:00-13:10,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
80,13:10-13:20,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
81,13:20-13:30,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
82,13:30-13:40,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
83,13:40-13:50,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
84,13:50-14:00,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
85,14:00-14:10,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
86,14:10-14:20,0.4785,-0.5316666666666666,0.0,0.0,0.0,0.0,0.0,0.0
87,14:20-14:30,0.4785,-0.5316666666666666,0.0,0.0,0.0,-0.20166666666666677,0.0,0.0
88,14:30-14:40,0.8148148148148149,-0.7333333333333334,0.0,-0.20166666666666677,0.0,0.0,0.0,0.0
89,14:40-14:50,0.8148148148148149,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
90,14:50-15:00,0.6694,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
91,15:00-15:10,0.66,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
92,15:10-15:20,0.7217,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
93,15:20-15:30,0.7308,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
94,15:30-15:40,0.7534,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
95,15:40-15:50,0.7823,-0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
96,15:50-16:00,0.8055,-0.7333333333333334,0.0,0.0,0.0,-0.0788266666666666,0.0,0.0
97,16:00-16:10,0.8271,-0.81216,0.0,-0.0788266666666666,0.0,0.0,0.0,0.0
98,16:10-16:20,0.8519,-0.81216,0.0,0.0,0.0,0.0,0.0,0.0
99,16:20-16:30,0.8791,-0.81216,0.0,0.0,0.0,0.0,0.0,0.0
100,16:30-16:40,0.9024,-0.81216,0.0,0.0,0.0,-0.012510000000000021,0.0,0.0
101,16:40-16:50,0.9163,-0.82467,0.0,-0.012510000000000021,0.0,-0.009089999999999931,0.0,0.0
102,16:50-17:00,0.9264,-0.83376,0.0,-0.009089999999999931,0.0,-0.017820000000000058,0.0,0.0
103,17:00-17:10,0.9462,-0.85158,0.0,-0.017820000000000058,0.0,-0.02519999999999989,0.0,0.0
104,17:10-17:20,0.9742,-0.8767799999999999,0.0,-0.02519999999999989,0.0,-0.010800000000000032,0.0,0.0
105,17:20-17:30,0.9862,-0.8875799999999999,0.0,-0.010800000000000032,0.0,0.0,0.0,0.0
106,17:30-17:40,0.976,-0.8875799999999999,0.0,0.0,0.0,-0.07920000000000005,0.0,0.0
107,17:40-17:50,1.0742,-0.96678,0.0,-0.07920000000000005,0.0,-0.14139000000000013,0.0,0.0
108,17:50-18:00,1.2313,-1.10817,0.0,-0.14139000000000013,0.0,-0.022319999999999895,0.0,0.0
109,18:00-18:10,1.2561,-1.13049,0.0,-0.022319999999999895,0.0,0.0,0.0,0.0
110,18:10-18:20,1.2447,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
111,18:20-18:30,1.2545,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
112,18:30-18:40,1.2522,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
113,18:40-18:50,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
114,18:50-19:00,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
115,19:00-19:10,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
116,19:10-19:20,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
117,19:20-19:30,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
118,19:30-19:40,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
119,19:40-19:50,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
120,19:50-20:00,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
121,20:00-20:10,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
122,20:10-20:20,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
123,20:20-20:30,1.2561,-1.13049,0.0,0.0,0.0,0.0,0.0,0.0
124,20:30-20:40,1.2561,-1.13049,0.0,0.0,0.03015000000000012,0.0,0.0,0.0
125,20:40-20:50,1.2226,-1.1003399999999999,0.03015000000000012,0.0,0.21194999999999997,0.0,0.0,0.0
126,20:50-21:00,0.9332,-0.8883899999999999,0.21194999999999997,0.0,0.0,0.0,0.0,0.0
127,21:00-21:10,0.9068,-0.8883899999999999,0.0,0.0,0.0,0.0,0.0,0.0
128,21:10-21:20,0.9371,-0.8883899999999999,0.0,0.0,0.0,0.0,0.0,0.0
129,21:20-21:30,0.9371,-0.8883899999999999,0.0,0.0,0.0,0.0,0.0,0.0
130,21:30-21:40,0.9871,-0.8883899999999999,0.0,0.0,0.18962999999999997,0.0,0.0,0.0
131,21:40-21:50,0.7764,-0.6987599999999999,0.18962999999999997,0.0,0.22764888888888885,0.0,0.0,0.0
132,21:50-22:00,0.4209,-0.4711111111111111,0.22764888888888885,0.0,0.0,0.0,-0.0030999999999999917,0.0
133,22:00-22:10,0.3859,-0.4711111111111111,0.0,0.0,0.0,0.0,-0.03809999999999997,0.0
134,22:10-22:20,0.4368,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
135,22:20-22:30,0.4198,-0.4711111111111111,0.0,0.0,0.0,0.0,-0.0041999999999999815,0.0
136,22:30-22:40,0.4186,-0.4711111111111111,0.0,0.0,0.0,0.0,-0.00539999999999996,0.0
137,22:40-22:50,0.4241,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
138,22:50-23:00,0.4237,-0.4711111111111111,0.0,0.0,0.0,0.0,-0.00029999999999996696,0.0
139,23:00-23:10,0.4248,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
140,23:10-23:20,0.424,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
141,23:20-23:30,0.422,-0.4711111111111111,0.0,0.0,0.0,0.0,-0.0020000000000000018,0.0
142,23:30-23:40,0.424,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
143,23:40-23:50,0.4271,-0.4711111111111111,0.0,0.0,0.0,0.0,0.0,0.0
144,23:50-00:00,0.4276,-0.4711111111111111,0.0,0.0,0.4711111111111111,0.0,0.0,0.0
