policy,method,month,normal,adjustment,emergency,total,emg_kwh,waste_kwh,charge_kwh,discharge_kwh,E_start,E_end
C2,P1,2025-04,827901.4388787227,23479.794829993687,123522.06445211111,974903.2981608275,29109.482879679497,162628.23867992702,564405.7860983426,456373.2309136131,4977.099906149304,5860.939712865404
C2,P1,2025-05,844513.2192950201,23121.19260983807,148410.51589428564,1016044.9277991438,33477.80310261689,196315.6640259989,544928.4637633112,437114.8554729469,5860.939712865404,10613.38435212668
C2,P1,2025-06,1255242.4043869963,37942.28735129855,171753.7347928811,1464938.426531176,37486.0869931393,106982.62898488954,559979.1987342117,461749.9421976615,10613.38435212668,1539.1718821823524
C2,P1,2025-07,1550647.719695345,46796.20726316382,190632.19171468745,1788076.118673196,38770.46960494853,146027.22497287608,563514.641324077,456573.18948635587,1539.1718821823524,1398.8052001228773
C2,P1,2025-08,1283936.1100918613,32549.750617487694,184342.39884952505,1500828.259558874,39191.32717479132,194197.75002675052,555437.6541470096,448955.5022415778,1398.8052001228773,2453.2469973450843
C2,P1,2025-09,967717.7714443493,28577.528741436952,355147.064707482,1351442.3648932683,87127.77554149636,153157.32772633317,571524.015491623,462515.23826373153,2453.2469973450843,2919.040646770839
C2,P1,2025-10,1005403.6254216651,33705.07443265972,194017.997185577,1233126.697039902,44897.63443715249,134432.96944307792,635816.3917075132,511218.2609981535,2919.040646770839,7133.50318558437
C2,P1,2025-11,1228688.2981842184,28638.53586020584,119948.58958945889,1377275.4236338832,27280.225557557045,56922.465083847936,643866.155539175,522003.7499858027,7133.50318558437,6608.876519950058
C2,P1,2025-12,1770324.6261911006,33459.138354148934,161266.18717165396,1965049.9517169031,32585.037251007634,57518.8872451837,698822.5410414614,570780.0473621407,6608.876519950058,1349.1108326644985
C2,P7,2025-01,1710216.0402796078,69183.3841322686,495036.82565304753,2274436.2500649244,103753.15476511743,69634.2042905337,691789.8467683822,560456.5896533823,6000.0,5881.318032230324
C2,P7,2025-02,1156243.6313446302,31800.903031950565,186236.3250324897,1374280.8594090706,42103.95917345505,43145.40755489607,614387.4166033043,499036.56319465104,5881.318032230324,4344.922758925281
C2,P7,2025-03,1011961.9040040493,33714.14560262099,165323.9537009858,1211000.003307656,40339.92712602071,112211.99277194234,638106.9213836989,515611.60668724397,4344.922758925281,5739.36679620537
C2,P7,2025-04,827890.7775592334,23807.37974495416,123831.42872414993,975529.5860283375,29157.147414535655,161612.30177930472,571764.0858616419,463019.4939229359,5739.36679620537,5860.939712865405
C2,P7,2025-05,846132.9526586044,24495.093671944003,147388.31375696865,1018016.3600875171,33033.145481348874,195722.77129323978,557941.8340322125,447655.685390757,5860.939712865405,10613.38435212668
C2,P7,2025-06,1257123.9005796101,39795.50406650172,173135.55853835715,1470054.963184469,37663.92446365863,104686.38529310578,572288.2333228017,471077.8996037805,10613.38435212668,2252.9058940032146
C2,P7,2025-07,1553133.9046033886,45737.96076509754,189728.05854819005,1788599.9239166763,38409.05316645912,147500.1322736512,576940.2908697913,468090.3262290233,2252.9058940032146,1398.8052001228773
C2,P7,2025-08,1286566.4024817795,31067.369378952077,183305.43608173335,1500939.2079424653,38963.523880000124,194276.56044466572,561324.5498373143,452653.2761472041,1398.8052001228773,3642.815445701244
C2,P7,2025-09,966742.6185072892,28488.31853590803,356085.1832394116,1351316.1202826088,87739.06188771117,152239.9960914753,564682.1544821425,457543.189582727,3642.815445701244,3475.432721044051
C2,P7,2025-10,1005453.9518286308,33320.11742647037,194900.43936777086,1233674.508622872,44963.250415063456,133962.4654403103,633391.2008916489,509801.163626253,3475.432721044051,7081.776161024656
C2,P7,2025-11,1228952.1036505634,28895.127029518004,120270.63583339023,1378117.8665134718,27319.594763705958,55028.73650478842,652558.2677492535,528319.238003839,7081.776161024656,7362.841575531704
C2,P7,2025-12,1771864.2731794158,33386.700319645024,160886.52899660886,1966137.5024956695,32393.935244890046,57273.351761630416,713529.5300849718,583371.2770374077,7362.841575531704,1349.1108326644985
