day,date,plan_cost,emergency_cost,total,initial_energy,end_energy,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,unused_kwh
46,2025-02-16,46128.24239953772,20127.860187109476,66256.10258664719,8120.582184249673,8386.470969123353,75688.73307681634,4214.506170497003,22137.85643374946,17692.363804950754,80.36751851465056
47,2025-02-17,46922.07333632058,4298.170631454102,51220.24396777468,8386.470969123353,8284.43140911512,76678.64508772861,1050.9944562159383,23266.182575241455,18937.443489952988,2217.037291989419
48,2025-02-18,46034.80314565294,8140.1006049545185,54174.90375060746,8284.43140911512,8402.700905804904,75453.04278820926,1943.8972469465998,23089.782645981475,18596.281396224185,812.0510020652365
49,2025-02-19,45687.12129758624,14305.172674308422,59992.293971894665,8402.700905804904,8154.55717750204,75008.95864127536,3276.318559827153,22519.854593554905,18464.41157625205,1350.506800466316
50,2025-02-20,44731.838489031215,7557.5300317466645,52289.368520777876,8154.55717750204,6455.086354540177,72930.6197186953,1737.0184427067834,21056.41481525976,18585.219741026085,1203.3093538350654
51,2025-02-21,16677.00455460739,5456.961203333207,22133.965757940598,6455.086354540177,5987.539715598078,32456.78956994217,1701.7681520646374,20302.771510180388,16866.03689829399,5161.561076787089
52,2025-02-22,18008.059124868796,9164.921572444513,27172.98069731331,5987.539715598078,8280.194111600702,35616.336725468296,2140.233405426295,21918.833926508618,15690.86652406962,3683.8398451222674
53,2025-02-23,45700.86474139306,6033.99421651302,51734.85895790608,8280.194111600702,8443.423192168275,75186.4227372575,1456.9356697247545,23188.033452437925,18635.400923963905,558.872195174906
54,2025-02-24,44221.70405770141,5157.540938926259,49379.24499662767,8443.423192168275,8464.256380416004,72915.88910439725,1194.020005597929,22895.227274187513,18526.38422266893,1538.0324418099467
55,2025-02-25,44280.08520016855,3269.6526277266266,47549.73782789517,8464.256380416004,8317.524262369476,72819.42934633199,905.6274829228424,22769.850016057346,18575.63741924832,3709.5209991124857
56,2025-02-26,43566.05959312678,8299.924113502027,51865.98370662881,8317.524262369476,8510.667859874031,71707.94470455535,1958.0560743393517,22049.371592705364,17686.161752337248,487.9429051932626
57,2025-02-27,41579.26861174079,12339.867462792176,53919.13607453296,8510.667859874031,6287.014694088684,67867.9716782528,2577.129545005256,19433.231194502725,17742.20511675401,1797.4909455093502
58,2025-02-28,16502.7143497614,5545.6582388854295,22048.37258864683,6287.014694088684,5923.875261789642,32183.013518567815,1461.0762397011429,20623.114772650602,17031.548454916123,6759.929890534479
59,2025-03-01,18221.11815570672,2009.0089837394003,20230.127139446122,5923.875261789642,8564.325087068382,35955.751772687494,453.03948505948546,23041.462996898517,16287.180184736935,5995.742512252054
60,2025-03-02,45085.0163358144,24055.343830333917,69140.36016614831,8564.325087068382,8584.089633184258,74047.76626178704,4604.82934182052,20510.095557057208,16595.389309712053,2379.582289595711
61,2025-03-03,43557.1287948291,23685.947445452293,67243.0762402814,8584.089633184258,8396.72456005007,71755.82428040184,4943.543117772569,20845.73238692223,17053.67179922778,890.1601771466346
62,2025-03-04,45315.72417792445,1451.7486635226862,46767.47284144714,8396.72456005007,8298.736634562027,74394.10802860725,414.88880558522317,23414.582242390024,19054.00074927516,1248.9574077442617
63,2025-03-05,44998.200209988594,2877.2001163676705,47875.40032635626,8298.736634562027,8468.458686712467,74148.8785235969,587.6910867394299,23741.563894526607,19077.91690763116,3942.4506067742273
64,2025-03-06,40738.57820287389,8530.917283488268,49269.49548636216,8468.458686712467,5352.443820694842,66223.22610835754,1880.846022923406,18622.82329247913,17888.900246323963,1429.494951792473
65,2025-03-07,15075.55876582612,8440.748158977602,23516.30692480372,5352.443820694842,4603.783731904495,29462.885007076424,1823.605411014012,18747.204162189853,15859.029451285087,7476.030173852342
66,2025-03-08,16486.80791068118,6272.3575238963185,22759.165434577495,4603.783731904495,8247.20857551934,33036.4795347045,1925.0988159165195,24141.574044271765,16275.592616606767,8032.457406289372
67,2025-03-09,41783.77037189389,3663.180757917852,45446.951129811736,8247.20857551934,8558.535356974293,69478.74261820062,872.565494450772,22471.449888,17921.680305970545,2468.0134806219326
68,2025-03-10,40490.79008443652,23488.030104557616,63978.82018899414,8558.535356974293,8348.152182854987,66977.53628126813,4472.781849204096,18847.288915592148,15455.648878337011,16.606643217080602
69,2025-03-11,41934.133050010016,5149.803361812481,47083.9364118225,8348.152182854987,8540.31140748768,69693.68298980217,1259.0756336397012,22091.937660690844,17721.52620299016,2643.428365741175
70,2025-03-12,40559.21560329498,4849.31861948775,45408.53422278273,8540.31140748768,8269.552051272083,67546.4832163192,1163.356474922973,21919.539989995104,17998.510812490076,2353.2758304037993
71,2025-03-13,38008.71698376683,28296.92603566793,66305.64301943476,8269.552051272083,4396.749762386652,61871.92255315293,5085.374960245722,14499.365724800755,15230.008297085487,142.32206901672816
72,2025-03-14,14610.205357759862,3912.7495028900385,18522.9548606499,4396.749762386652,3921.509968402245,28387.391781496557,1173.599299234742,19859.83877447037,16514.185221906966,10185.911544834556
73,2025-03-15,16600.478370980294,7343.690834251688,23944.16920523198,3921.509968402245,8153.251286059879,33219.73290739545,2128.2700580112073,24252.283030721388,15835.78206899246,6007.376853677731
74,2025-03-16,40748.58392661007,7036.856044456891,47785.43997106696,8153.251286059879,8658.284340230342,68136.63387932611,1799.327756482714,22223.558651239433,17546.552758750524,1907.9088099865637
75,2025-03-17,40669.50756733737,2148.4887261564613,42817.99629349383,8658.284340230342,8648.821419856244,67759.67458321025,610.2192022515574,22507.56660667582,18239.64557974411,6243.841325196767
76,2025-03-18,37819.26729147195,11950.89858382127,49770.16587529322,8648.821419856244,8262.800246131832,63580.3114336497,2661.5703574515037,21515.307106675544,17774.817812759156,1375.434130518171
77,2025-03-19,38118.34950185203,7819.35994620526,45937.70944805729,8262.800246131832,8584.20048885093,63867.37097249246,1793.199018399839,21939.62679469796,17481.837485258162,1737.3102314525022
78,2025-03-20,35586.28504213522,15884.504863985456,51470.78990612068,8584.20048885093,3916.228541756472,57943.77095041779,3376.5603612324167,15376.485229653626,16656.127788404447,391.0120537343897
79,2025-03-21,13926.535214417872,5935.996774955491,19862.53198937336,3916.228541756472,3612.141801283459,27309.47061951475,1886.6585118777061,21630.985007778945,17794.77592272665,13326.455529673503
80,2025-03-22,16592.584817092073,6428.194411128178,23020.77922822025,3612.141801283459,8349.446012281525,33590.141949562385,1576.4273558564923,25118.206843485117,16082.1737533247,10249.336481925107
81,2025-03-23,38002.27993389362,6342.504218942769,44344.784152836386,8349.446012281525,8602.20957268551,63744.33808510975,1379.7719491988487,21965.553581894106,17564.611196970654,1953.4475327184723
82,2025-03-24,37015.38002822346,7229.173154460859,44244.55318268432,8602.20957268551,8455.759732109946,61925.532435639514,1757.8871613055271,21402.278265851568,17467.650251857773,1750.2944996179085
83,2025-03-25,36848.328104040396,14770.399615147395,51618.727719187795,8455.759732109946,8333.14079898352,61898.6428466266,3216.980127244224,20449.75079960577,16674.655187494453,390.40264509288227
84,2025-03-26,36805.01288798587,2779.8195381002483,39584.83242608612,8333.14079898352,8410.867128068721,61838.77580169772,763.2844834469469,22275.153882281153,17972.92094847105,2707.272484667894
85,2025-03-27,34836.691436880945,7647.872314393118,42484.563751274065,8410.867128068721,3622.6605179729036,56856.325043103265,1838.7022348270611,15741.391693955007,17059.91322118979,1296.5594051651076
86,2025-03-28,13796.863786467526,3390.0428082096573,17186.906594677184,3622.6605179729036,3499.4624851320905,27382.69079262212,1097.5811141758047,21681.657580281924,17673.020869585096,13649.754429434424
87,2025-03-29,16343.964939841706,2262.045578638885,18606.01051848059,3499.4624851320905,8484.833983409035,33419.90912228886,669.6218082933583,28006.85878260386,18198.721265459873,16574.18423010489
88,2025-03-30,35234.79269445168,4971.163153321193,40205.95584777287,8484.833983409035,8483.92821530252,59132.80271529877,1264.972093126839,21459.616291300757,17383.104387249467,975.6432043743141
89,2025-03-31,34705.647615235386,19445.398312497826,54151.04592773321,8483.92821530252,8550.508012477516,57993.198268035136,3578.4509819411314,18635.59776890943,15034.912375359145,1019.5743730926648
90,2025-04-01,35038.221598007876,32319.54848012132,67357.7700781292,8550.508012477516,8551.263339700803,58528.8821026192,5529.255006402413,16260.17216936854,13170.059662687547,759.1730856739657
91,2025-04-02,35052.098707504396,27342.670125394026,62394.76883289842,8551.263339700803,8467.156656018726,58733.21975435242,5140.725575876348,18029.405369570046,14679.514364665607,88.71892532431147
92,2025-04-03,34030.38176022473,5724.61923056012,39755.00099078485,8467.156656018726,3349.86597055947,55882.882308999186,1328.5527341955503,15942.301100908857,17518.825508649497,2924.429184268738
93,2025-04-04,13446.378720484536,2019.0082964652906,15465.387016949826,3349.86597055947,3333.9961686476327,26967.70100994372,689.8967676283982,22266.824827239852,18050.41093178494,17010.381632117194
94,2025-04-05,15948.107510727648,9144.785384110726,25092.892894838376,3333.9961686476327,8371.844582862146,32920.3087768189,1909.8976817590326,26327.334974534537,16791.077756579907,13249.834257289976
95,2025-04-06,36092.40783024646,1794.2617650384066,37886.66959528487,8371.844582862146,8541.816986127838,61032.60711662859,431.2809338295433,21884.106683988703,17573.15125109172,2742.8563508944835
96,2025-04-07,35254.338292009095,2472.6653815470136,37727.00367355611,8541.816986127838,8367.970615658758,59497.45268499213,685.5261025254358,21148.699562559013,17286.908379094977,3078.468320720178
97,2025-04-08,35819.640641239916,4551.303471091265,40370.944112331184,8367.970615658758,8437.009005919406,60424.25209004059,999.6152176305162,21581.30845191965,17418.725294820335,2908.090533905106
98,2025-04-09,35001.654246361155,23160.983546977546,58162.6377933387,8437.009005919406,8426.891627426066,58877.296110906056,3928.3332336839185,17778.655252848155,14409.816395451013,302.47947052617826
99,2025-04-10,32779.792273966006,3924.7208909674714,36704.51316493348,8426.891627426066,3371.8940566388906,53484.82985255773,915.3515158607966,15588.02471204602,17175.79783046574,1527.3165868382307
100,2025-04-11,12902.475137735233,2180.5265608863424,15083.001698621576,3371.8940566388906,2928.176340936408,26113.324241012688,749.9211988202856,22181.622547641222,18366.460207721622,17731.432933246706
101,2025-04-12,16011.731986539933,685.6433906259105,16697.375377165845,2928.176340936408,8425.073441548227,33180.61573856105,256.46655158255413,28106.56147640159,17819.10740533465,14124.467669076648
102,2025-04-13,34369.52636239093,5018.907789267067,39388.434151657995,8425.073441548227,8552.252882652287,57976.90520312571,1032.9221755709507,20672.494450000726,16630.259007506935,691.2334528695404
103,2025-04-14,33784.25457972768,3154.8122218958383,36939.06680162352,8552.252882652287,8417.10566514767,57037.559725539904,845.9356217433402,20780.23024049733,16953.618990557,1528.8522973429137
104,2025-04-15,34467.77590980683,5009.8714795130045,39477.647389319834,8417.10566514767,8580.248679131302,57958.470689044116,928.2765922337929,21178.411164148532,17007.684330375054,4576.591614171071
105,2025-04-16,34256.38099985916,10294.606166280613,44550.98716613978,8580.248679131302,8380.40541045131,57739.010660767206,1872.173395690309,18737.283564499707,15357.05862905675,451.36717101459345
106,2025-04-17,31251.39211651276,6003.5089287993005,37254.901045312065,8380.40541045131,3126.8600633511696,50781.26038699697,1048.4648589743867,14042.357226081273,16102.500165515949,1021.5258354060446
107,2025-04-18,12479.850319467409,1805.8367888364437,14285.687108303853,3126.8600633511696,2795.1336348171935,25398.24485740882,609.0141405242878,21723.22220620272,17894.363772704783,15824.283381101835
108,2025-04-19,15357.214167493425,1081.74070702108,16438.954874514504,2795.1336348171935,8407.475514537595,32166.517300923217,403.2215810773667,27792.49057802706,17460.809676453573,15453.37873042708
109,2025-04-20,33162.47039940421,4309.209327703295,37471.679727107505,8407.475514537595,8638.73769975591,56063.288207376434,993.2182913787615,20849.55595944402,16680.004360453175,929.2100164310336
110,2025-04-21,32890.61765311099,1986.097635282679,34876.715288393665,8638.73769975591,8434.106633876556,55728.66434772117,539.4997174802445,20388.015342954786,16698.460387084804,4061.6987259980965
111,2025-04-22,32085.721854538504,9637.951041359976,41723.67289589848,8434.106633876556,8308.434554130858,53650.63450199157,1995.4175852473604,18570.629856009386,15155.315055138733,77.80796970161185
112,2025-04-23,33331.433764196685,2279.9719894820096,35611.40575367869,8308.434554130858,8563.467065573928,56475.822924547465,649.9736545876849,20037.542125238168,16000.879861144154,1689.2175983744419
113,2025-04-24,29668.78299634807,1922.4187801607707,31591.20177650884,8563.467065573928,2561.340842560352,48064.98287390963,416.13762716228825,13824.393767197867,16599.672552142485,4166.292586016551
114,2025-04-25,11616.89256566081,1993.497011131023,13610.389576791833,2561.340842560352,2144.7238902703184,24251.779011055496,532.7248934053227,23105.18207584921,19090.1527384989,18769.1169171105
115,2025-04-26,14253.546362316547,7886.218174307694,22139.764536624243,2144.7238902703184,7708.022494071358,30631.76476368557,1836.6448021318574,29191.72935335583,18638.33203279728,21844.818611925548
116,2025-04-27,29640.73595081478,15681.648137898625,45322.3840887134,7708.022494071358,7546.931519088108,49894.92497631097,3451.904173262669,18521.498831844143,15147.39593127868,1399.2550656748435
117,2025-04-28,31079.67120582854,45697.51116981271,76777.18237564125,7546.931519088108,7514.8940450160635,52004.31726733929,7689.3209661442825,12992.749843527276,10552.961099921933,631.8821732115761
118,2025-04-29,32156.19095738711,5779.438693718286,37935.629651105395,7514.8940450160635,8091.909946048728,54485.399606098654,1329.7903164896518,20101.34067646367,15762.771637006168,4043.407166464125
119,2025-04-30,31312.68192409424,2954.1319862015553,34266.813910295794,8091.909946048728,7897.031949470611,52537.44388510099,583.0036327668074,18697.356361599268,15320.248849815714,1486.4855727509
120,2025-05-01,28077.24865375243,19538.817655631592,47616.06630938403,7897.031949470611,1241.9631370685813,44755.14050258057,3905.904871587715,12508.311158500646,16121.293969547343,1262.6493852149881
121,2025-05-02,12205.507133906161,27465.570367801345,39671.07750170751,1241.9631370685813,1377.7626451817341,25280.067561117292,5383.606695462843,19146.9677677532,15386.824334578256,12613.210740071852
122,2025-05-03,15515.088939777674,14024.595767967685,29539.684707745357,1377.7626451817341,7578.941823113759,32666.92433202624,2804.3322540635536,27755.650105095345,16901.015324988406,15749.450155982859
123,2025-05-04,33288.31844638505,9955.275412298759,43243.59385868381,7578.941823113759,7979.920328571917,56177.5407533929,1857.4458894913894,19747.65720010214,15634.721677170388,2187.383786619239
124,2025-05-05,33867.88078765399,15857.326402344805,49725.20718999879,7979.920328571917,8274.369085022738,56649.66212951895,3068.051298345605,19542.040086439454,15564.04858921023,663.7151306353094
125,2025-05-06,33723.71076870847,10787.116698336617,44510.82746704509,8274.369085022738,8006.409282477311,56531.76656249869,2248.638574755933,19966.362334468125,16413.917313210066,2357.8777493299067
126,2025-05-07,34905.503609788815,9885.565625947156,44791.06923573597,8006.409282477311,8280.72094710808,58682.889392621946,1904.584363900397,20663.950539091205,16490.919438496177,1346.5967059273164
127,2025-05-08,33952.83972985868,5754.456061059965,39707.295790918644,8280.72094710808,2819.3775052823844,53619.454458017775,1008.8170779179392,13709.122872588458,16019.598624439774,1112.2348877870104
128,2025-05-09,13876.27003605953,2409.172167736714,16285.442203796243,2819.3775052823844,2592.213909915127,26555.104330799408,732.1306811271144,20655.73694653201,16935.594162521473,15067.70637791597
129,2025-05-10,17012.772231415627,7130.112033240511,24142.88426465614,2592.213909915127,8331.369923959823,34024.18362935983,1391.8103958946258,26394.58085716185,16214.370081660874,13114.737966420143
130,2025-05-11,35661.31998968091,9971.548944374137,45632.86893405505,8331.369923959823,8575.50724806935,59205.27239948807,1838.9976873856972,19559.821939092704,15623.732178966511,1624.1012434142624
131,2025-05-12,35865.74567250302,1941.5437772218822,37807.2894497249,8575.50724806935,8739.443052378092,59528.83814173644,465.4277472452815,20356.319915311175,16341.076907524188,4047.8276478614002
132,2025-05-13,35730.50129191367,877.2803533972526,36607.781645310926,8739.443052378092,8631.145488559103,59285.05052211275,183.16454398741834,20073.659289144132,16357.131831643836,2622.4748419331954
133,2025-05-14,35977.26301735317,2235.162562299807,38212.425579652976,8631.145488559103,8618.286145964154,59761.54032786151,546.7935013878969,19838.183033523346,16080.501665489364,3536.503677882083
134,2025-05-15,33888.57368439973,4108.273560262927,37996.847244662655,8618.286145964154,3475.692047984043,53126.06159730423,1083.4239597391336,13661.848938210647,15694.432328132732,3477.010663632103
135,2025-05-16,13772.842733102385,996.2963627537627,14769.139095856148,3475.692047984043,2204.6092404872757,25530.750229676778,457.447655444509,21655.142747345697,18684.640152097098,20302.18875653936
136,2025-05-17,17880.608630308772,7151.036688034112,25031.645318342882,2204.6092404872757,9063.477218184125,35044.14039146793,1393.4066277733343,27159.862724757506,15826.507627126413,14655.392838276824
137,2025-05-18,35716.02139189717,2170.324776442242,37886.34616833941,9063.477218184125,9363.030790169216,58038.32244304235,495.98200464795343,18754.77975563191,14921.77338727527,1025.1299793336455
138,2025-05-19,35036.95982865094,841.8503824623238,35878.81021111327,9363.030790169216,8765.347435729678,57449.70105411509,169.75435995905394,18664.3568538362,15656.044070602911,7095.926080840853
139,2025-05-20,34988.15412414084,7942.384518879315,42930.538643020154,8765.347435729678,8688.720471346714,57191.29301597349,1381.8593771688265,17519.08307532646,14259.421558959099,786.0960601082808
140,2025-05-21,34805.8106095016,2868.6927001759404,37674.50330967754,8688.720471346714,8254.835586017196,56742.71681121161,740.7976892864897,17864.733939129823,14860.930887491728,3117.0961655266497
141,2025-05-22,31188.045920678305,2475.71159401371,33663.75751469201,8254.835586017196,2568.1279899997126,48980.578317978296,540.9105360082193,11933.46932274534,14784.146987839466,1555.5357024139864
142,2025-05-23,13301.685429092777,2743.2878004135573,16044.973229506333,2568.1279899997126,2013.764744597624,25196.397774539284,909.4559858326836,20907.118140308732,17433.692614511954,16211.479351241862
143,2025-05-24,17044.484346891833,628.3983163652352,17672.882663257067,2013.764744597624,8400.028809301475,33828.123788693585,289.40188631733463,28561.41483515331,17387.108358240726,19188.717814764976
144,2025-05-25,34519.62464061787,1.0057359389747944e-10,34519.62464061797,8400.028809301475,8393.416689693115,56411.338111932564,1.9987567156931618e-11,18855.94926483924,15279.269812167298,4289.648475927322
145,2025-05-26,34005.9985023577,13164.934584279294,47170.933086637,8393.416689693115,7895.574443237719,55560.62716575589,2222.5380704946137,16521.432399691326,13830.41826555983,512.3181521190197
146,2025-05-27,33862.911982205296,971.6379598383861,34834.54994204368,7895.574443237719,7932.59611064133,55164.32391142976,445.16271733710084,18642.927058321726,15067.45141657734,2643.643687022491
147,2025-05-28,34119.19677336287,2949.0485828454684,37068.24535620834,7932.59611064133,8231.950278377944,55993.0716891383,654.1040176282754,18975.209736955218,15100.50113597078,498.64300578211567
148,2025-05-29,30042.682147386808,18464.649850863752,48507.33199825056,8231.950278377944,2043.5573176656285,47397.79671462045,3293.5046106811224,10253.702993688397,13875.053089528685,202.52792114184993
149,2025-05-30,13183.940398582392,9882.352597869265,23066.29299645166,2043.5573176656285,1777.9481502940994,25487.568291647236,2016.6372801331254,20046.9452328155,16477.07388921494,17338.100961513122
150,2025-05-31,16890.59139685858,4592.885696243884,21483.477093102465,1777.9481502940994,8443.83557260087,34048.12419330325,1100.6256605108958,28553.9767383262,17129.422477968135,15335.014043456082
151,2025-06-01,34130.048097082945,81301.24704555052,115431.29514263346,8443.83557260087,6890.127186171061,56555.061649255855,15322.737512489788,10796.370576486608,10143.397714740979,3.6060043839825084e-12
152,2025-06-02,35620.66837014558,61525.75537705114,97146.4237471967,6890.127186171061,7304.489834419419,59421.169690024886,12805.507840859673,16760.728225346014,13203.26347910675,28.405334645286075
153,2025-06-03,43729.50366290468,9651.410183784577,53380.91384668926,7304.489834419419,8218.19388029963,72486.70792849615,1972.5134825353825,22735.599614979874,17593.502046841506,1124.7570095598167
154,2025-06-04,43862.732383863346,12037.983974952574,55900.71635881592,8218.19388029963,8172.253548440191,72420.83526765827,2634.163718764016,21264.36874829439,17265.484984791958,1410.8544062531764
155,2025-06-05,42707.277190742265,8553.250594617113,51260.52778535938,8172.253548440191,2411.5346828239785,68156.16997806191,1776.6782357665452,16126.657852804568,18247.239839826285,904.1121841835
156,2025-06-06,18493.160346189034,23773.968805774195,42267.12915196323,2411.5346828239785,2456.767979326652,33574.368751482325,4699.308271714445,14819.251745628548,11962.883947106717,4562.313824674933
157,2025-06-07,22543.585549554107,3589.6911033302513,26133.276652884357,2456.767979326652,8330.65889552986,41862.2352273799,711.1444877760326,21153.917911698478,11848.171683892877,2141.120320683667
158,2025-06-08,55840.844451430865,3.546451310398879e-11,55840.8444514309,8330.65889552986,9725.972980703122,88958.51673278653,6.247447004170681e-12,26933.994804540114,20560.753115021555,17400.351776601317
159,2025-06-09,47389.32653298114,5023.614242571606,52412.94077555275,9725.972980703122,8657.571859297956,76816.16701228992,1052.221356169529,21359.33321988375,18262.620917370492,3838.9633326129015
160,2025-06-10,48608.15269971303,3585.5248700914335,52193.67756980446,8657.571859297956,8748.689960364727,78802.74936747161,746.2457665459794,23669.4158065408,19090.220512337954,3351.355606481436
161,2025-06-11,48130.855903893105,18399.19322427547,66530.04912816858,8748.689960364727,8719.414747739016,78375.22690542307,3869.3747863776066,22973.964400360277,18635.258855654964,1821.4498304287035
162,2025-06-12,48133.83794485983,2058.886167434415,50192.72411229424,8719.414747739016,3526.2552008265884,75271.64234579391,402.7157117807448,17450.45091163612,18808.70883064643,4580.224543251623
163,2025-06-13,19136.32922813113,3373.686389578341,22510.01561770947,3526.2552008265884,2983.0636474415646,33386.4984260726,822.3488792676902,13737.678983609241,11616.39237477001,3742.2469965010605
164,2025-06-14,22829.328307039206,375.18491797522216,23204.513225014427,2983.0636474415646,8490.400731991273,41617.91324621242,144.51615268439824,23347.16306081158,13954.598703162657,6176.522291247881
165,2025-06-15,54626.10243866526,4.8461309631875334e-11,54626.10243866531,8490.400731991273,10550.084992207918,86848.25231133713,9.50706180447014e-12,26296.84802803668,19446.731068514735,9371.161018481875
166,2025-06-16,51116.007807987706,266.96983978370156,51382.977647771404,10550.084992207918,9717.997301848238,81039.54965321052,99.0930452806841,22080.694444865916,18634.24142166511,4998.136858623702
167,2025-06-17,51182.552409910204,5754.329725648688,56936.88213555889,9717.997301848238,9394.469449404398,81551.23806268071,1324.2319903638786,23398.359527527784,19243.846284496958,4083.94559334711
168,2025-06-18,51264.16527315654,94.07413803666833,51358.23941119321,9394.469449404398,9711.232492614328,82214.72949939815,33.32571999217143,24691.70641452746,19715.195456878308,6343.153361741195
169,2025-06-19,47292.3259491021,953.6524961316097,48245.97844523371,9711.232492614328,3603.420753993767,73498.77741415461,206.02176668972433,16613.481785214826,18953.950810782517,7785.764006411986
170,2025-06-20,19885.62893342578,595.4758936490932,20481.104827074876,3603.420753993767,3421.2006983299393,33599.380519821505,273.51855808418196,15769.627285392926,12937.396151265712,8640.087093778491
171,2025-06-21,22986.759917431504,439.7034686402068,23426.46338607171,3421.2006983299393,9772.369185425003,41280.18685546978,202.07893281165,24132.87556021435,13831.577565388076,11846.22739345514
172,2025-06-22,46599.092386230535,5087.095790625257,51686.188176855794,9772.369185425003,9142.38389469454,75312.72265069041,1099.5204071519333,22523.538120715293,18811.05263943681,5242.416476563896
173,2025-06-23,46184.035870576656,5844.314226014691,52028.35009659135,9142.38389469454,8831.16588413433,74852.3946386451,1306.335924266511,21927.876304698446,18041.67601630993,5211.244274523103
174,2025-06-24,44953.578179691416,38557.28790840699,83510.86608809841,8831.16588413433,8694.253424420693,72821.45135184628,7775.526926081772,18956.1659291277,15477.715616335707,849.7357151360942
175,2025-06-25,47220.824022868495,8171.199695896617,55392.023718765115,8694.253424420693,8962.007097515798,76757.24462694446,1711.7576243871192,22179.120914112948,17724.109634645887,3576.5696051978416
176,2025-06-26,44048.30085403262,3079.8849640937306,47128.18581812635,8962.007097515798,2561.4660579170527,69117.52451648,643.6669674375244,16924.326904277816,19469.1917281039,4758.672474410288
177,2025-06-27,17988.085472580784,2222.775353795433,20210.860826376218,2561.4660579170527,2402.620679629509,31428.25637298686,952.7456059210774,17225.19085461228,14095.36543269473,9479.530690323738
178,2025-06-28,21363.86876342429,1814.9610995917446,23178.829863016035,2402.620679629509,8703.103859603874,39790.06606117271,640.2487614587566,22999.56441250574,12959.21231215273,8613.036605611784
179,2025-06-29,45979.04434402415,4192.334773524439,50171.37911754859,8703.103859603874,8915.4316434112,75287.71261148599,948.9978110705626,22704.599984564156,18199.630982070372,2463.9728867293943
180,2025-06-30,45607.838667366945,8483.499673541884,54091.33834090883,8915.4316434112,8376.984897863995,74415.69671400142,2040.9465622410212,22407.786030727948,18634.908755882123,2806.0820180632845
181,2025-07-01,45097.32725927489,35187.46093401527,80284.78819329015,8376.984897863995,7288.953079924046,73910.65165581119,8357.932140349963,19886.39440078454,17087.208100781427,602.8534628247265
182,2025-07-02,49917.09685083701,16298.062897105838,66215.15974794285,7288.953079924046,7918.501532092121,81025.73436963768,3827.221393339191,23541.691389448257,18502.17641850182,6908.674425363771
183,2025-07-03,48966.9955784314,12839.994667213716,61806.99024564512,7918.501532092121,2066.6965349117772,76364.02886994388,2840.642980446296,15805.744574896458,18069.27760312844,1707.785945288846
