model,date,plan_cost,emg_cost,total_cost,emg_kwh,e0,e_end
M0,2025-03-29,15388.061754845108,0.0,15388.061754845108,0.0,1952.03327176,2169.01939723
M0,2025-03-30,38208.05118541769,0.0,38208.05118541769,0.0,2169.01939723,2013.36318242
M0,2025-03-31,37715.118869921185,553.3507388039233,38268.46960872511,79.3220669157,2013.36318242,1667.18486881
M0,2025-04-01,38275.49333750025,5209.334224639638,43484.82756213989,748.0095453489099,1667.18486881,1769.36129456
M0,2025-04-02,38236.83116935009,7918.762259447762,46155.593428797845,1588.28962571867,1769.36129456,1860.52684575
M0,2025-04-03,39791.25169181345,0.0,39791.25169181345,0.0,1860.52684575,1969.19492986
M0,2025-04-04,14796.069723653345,0.0,14796.069723653345,0.0,1969.19492986,2040.70139504
M0,2025-04-05,14845.96236910626,0.0,14845.96236910626,0.0,2040.70139504,1847.67880831
M0,2025-04-06,39311.85667175288,0.0,39311.85667175288,0.0,1847.67880831,1982.23381833
M0,2025-04-07,38371.922180437505,0.0,38371.922180437505,0.0,1982.23381833,1831.88795574
M0,2025-04-08,38907.61181152114,0.0,38907.61181152114,0.0,1831.88795574,1869.37821043
M0,2025-04-09,38101.094343525976,1940.9437580511783,40042.03810157715,278.46478481413,1869.37821043,1556.589971
M0,2025-04-10,38568.27539099133,0.0,38568.27539099133,0.0,1556.589971,2069.41537223
M0,2025-04-11,14231.649878100063,0.0,14231.649878100063,0.0,2069.41537223,1749.2909246
M0,2025-04-12,14817.199167911756,0.0,14817.199167911756,0.0,1749.2909246,2173.68488177
M0,2025-04-13,37286.59627697388,0.0,37286.59627697388,0.0,2173.68488177,1994.73617591
M0,2025-04-14,36826.43419850334,0.0,36826.43419850334,0.0,1994.73617591,1725.07139508
M0,2025-04-15,37589.949528599805,0.0,37589.949528599805,0.0,1725.07139508,2108.44494368
M0,2025-04-16,37258.61046314248,0.0,37258.61046314248,0.0,2108.44494368,1940.77789861
M0,2025-04-17,36859.81204662021,0.0,36859.81204662021,0.0,1940.77789861,2140.54689128
M0,2025-04-18,13831.783849253698,0.0,13831.783849253698,0.0,2140.54689128,2327.77555147
M0,2025-04-19,13734.656876949346,0.0,13734.656876949346,0.0,2327.77555147,2251.09152869
M0,2025-04-20,35985.41411941161,0.0,35985.41411941161,0.0,2251.09152869,2202.24111006
M0,2025-04-21,35823.270717375955,0.0,35823.270717375955,0.0,2202.24111006,1761.84013832
M0,2025-04-22,35050.78555887408,0.0,35050.78555887408,0.0,1761.84013832,1787.63993932
M0,2025-04-23,36299.93900749897,0.0,36299.93900749897,0.0,1787.63993932,2217.34922484
M0,2025-04-24,35307.91688302407,0.0,35307.91688302407,0.0,2217.34922484,1933.5300487
M0,2025-04-25,12919.215563246693,0.0,12919.215563246693,0.0,1933.5300487,1672.44390621
M0,2025-04-26,12867.18520955979,0.0,12867.18520955979,0.0,1672.44390621,1517.68797013
M0,2025-04-27,32621.965324123536,6154.8736756368935,38776.83899976043,888.210248503,1517.68797013,1484.48442141
M0,2025-04-28,34154.06136813389,25045.62059353992,59199.6819616738,3703.078715304747,1484.48442141,1715.75875832
M0,2025-04-29,35017.73800001216,1662.6547928012158,36680.39279281338,238.339276491,1715.75875832,1891.49340748
M0,2025-04-30,34294.08788134536,0.0,34294.08788134536,0.0,1891.49340748,1866.0991977
M0,2025-05-01,33711.92834411711,11421.790943353131,45133.719287470245,2140.62990827685,1866.0991977,1204.10574152
M0,2025-05-02,13349.87798309203,11267.034134801706,24616.912117893735,2104.75635391165,1204.10574152,1200.0
M0,2025-05-03,14086.136619059529,4913.793456744573,18999.930075804103,912.64934410416,1200.0,1209.79521445
M0,2025-05-04,36403.70874816076,4898.3070423965955,41302.01579055736,868.7879930646699,1209.79521445,1292.82458512
M0,2025-05-05,36997.524593733455,3030.5585171931866,40028.083110926644,436.63051025788,1292.82458512,1339.07755294
M0,2025-05-06,37036.29473574017,3136.4550813382743,40172.74981707844,692.7843731399499,1339.07755294,1295.81884963
M0,2025-05-07,38144.00621132768,3751.88287971104,41895.88909103871,537.827247665,1295.81884963,1362.00977938
M0,2025-05-08,40161.69496890348,243.22893262500003,40404.923901528484,35.99925,1362.00977938,2362.53114753
M0,2025-05-09,15346.306175013013,0.0,15346.306175013013,0.0,2362.53114753,2419.78357947
M0,2025-05-10,15450.354841847373,0.0,15450.354841847373,0.0,2419.78357947,1971.20794819
M0,2025-05-11,38803.91453713556,277.361039458558,39081.275576594126,41.1807166667,1971.20794819,2009.36689742
M0,2025-05-12,39164.42582560036,0.0,39164.42582560036,0.0,2009.36689742,2387.49787195
M0,2025-05-13,38888.18709624873,0.0,38888.18709624873,0.0,2387.49787195,2194.46223334
M0,2025-05-14,39176.95688701517,0.0,39176.95688701517,0.0,2194.46223334,2238.82493567
M0,2025-05-15,40076.746511405014,0.0,40076.746511405014,0.0,2238.82493567,3506.70963707
M0,2025-05-16,15130.83039730796,0.0,15130.83039730796,0.0,3506.70963707,2343.57865072
M0,2025-05-17,16146.331269542734,0.0,16146.331269542734,0.0,2343.57865072,2788.19689076
M0,2025-05-18,38720.06030167003,0.0,38720.06030167003,0.0,2788.19689076,3236.39360014
M0,2025-05-19,37954.5177584206,451.90398166644184,38406.42174008704,67.0033333333,3236.39360014,2461.50039076
M0,2025-05-20,37914.54757347311,0.0,37914.54757347311,0.0,2461.50039076,2485.78743449
M0,2025-05-21,37989.475273992735,0.0,37989.475273992735,0.0,2485.78743449,2568.8369364
M0,2025-05-22,37016.936969853705,17.333364999999997,37034.2703348537,2.57,2568.8369364,2869.57600357
M0,2025-05-23,14588.547645804378,0.0,14588.547645804378,0.0,2869.57600357,2455.65213685
M0,2025-05-24,15421.918987879802,0.0,15421.918987879802,0.0,2455.65213685,2874.34786
M0,2025-05-25,37276.41830985795,0.0,37276.41830985795,0.0,2874.34786,2742.08912871
M0,2025-05-26,36868.528671486085,0.0,36868.528671486085,0.0,2742.08912871,2378.53346042
M0,2025-05-27,36655.0404818887,0.0,36655.0404818887,0.0,2378.53346042,2177.1665402
M0,2025-05-28,37028.63112198033,0.0,37028.63112198033,0.0,2177.1665402,2548.47416775
M0,2025-05-29,35787.491711534414,119.77769558310925,35907.26940711752,17.8174333333,2548.47416775,2038.55115619
M0,2025-05-30,14649.038503972868,0.0,14649.038503972868,0.0,2038.55115619,2330.65597953
M0,2025-05-31,14926.216117531327,0.0,14926.216117531327,0.0,2330.65597953,2520.39429481
M0,2025-06-01,37187.46408666243,70289.99515075679,107477.45923741923,11270.8682514269,2520.39429481,1200.0
M0,2025-06-02,38433.05813595286,55396.00200915926,93829.0601451121,9012.393944251251,1200.0,1200.0
M0,2025-06-03,47298.9143261894,717.5547665293088,48016.469092718704,143.40424124628998,1200.0,1332.04125131
M0,2025-06-04,47836.2936331542,983.263838745505,48819.55747189971,149.78178581743998,1332.04125131,1290.56108919
M0,2025-06-05,49370.45786961471,1327.0038024793969,50697.46167209411,245.01887858855997,1290.56108919,1200.0
M0,2025-06-06,20227.379946369918,8955.692087153524,29183.072033523444,1373.8811565891797,1200.0,1214.85537816
M0,2025-06-07,22335.962131972847,0.0,22335.962131972847,0.0,1214.85537816,1606.5757283
M0,2025-06-08,59918.124360201975,0.0,59918.124360201975,0.0,1606.5757283,3676.56501938
M0,2025-06-09,51016.83867382826,184.2342442556262,51201.0729180839,27.3162197725,3676.56501938,2104.58683332
M0,2025-06-10,52370.75026811651,0.0,52370.75026811651,0.0,2104.58683332,2481.52978879
M0,2025-06-11,51766.63707663531,1919.8969406226552,53686.53401725797,363.4980842682,2481.52978879,1936.0375693
M0,2025-06-12,54727.00668095667,0.0,54727.00668095667,0.0,1936.0375693,2702.12160851
M0,2025-06-13,20677.649891863824,0.0,20677.649891863824,0.0,2702.12160851,2130.17467427
M0,2025-06-14,21777.61160881928,0.0,21777.61160881928,0.0,2130.17467427,2211.08910504
M0,2025-06-15,58345.453547682184,0.0,58345.453547682184,0.0,2211.08910504,4696.03929943
M0,2025-06-16,54536.32615791554,0.0,54536.32615791554,0.0,4696.03929943,3822.15920136
M0,2025-06-17,54588.91672102477,0.0,54588.91672102477,0.0,3822.15920136,3129.89878284
M0,2025-06-18,54833.25342516207,0.0,54833.25342516207,0.0,3129.89878284,3643.72859711
M0,2025-06-19,53616.41409776801,150.8117266052432,53767.22582437325,22.371637465163,3643.72859711,3318.44588464
M0,2025-06-20,21206.755140638685,0.0,21206.755140638685,0.0,3318.44588464,3045.90359273
M0,2025-06-21,21552.77359513397,0.0,21552.77359513397,0.0,3045.90359273,3747.23706411
M0,2025-06-22,49784.696630531296,0.0,49784.696630531296,0.0,3747.23706411,3050.35313927
M0,2025-06-23,49295.68253587306,0.0,49295.68253587306,0.0,3050.35313927,2582.84426799
M0,2025-06-24,48002.93306124411,21833.742720444297,69836.6757816884,3912.436737673839,2582.84426799,2105.39996141
M0,2025-06-25,50753.32000120009,0.0,50753.32000120009,0.0,2105.39996141,2723.93214019
M0,2025-06-26,50383.15805705377,125.95128158216994,50509.10933863594,18.640783070559998,2723.93214019,2342.95308364
M0,2025-06-27,19369.185447789612,0.0,19369.185447789612,0.0,2342.95308364,2358.96539742
M0,2025-06-28,19761.56467107637,0.0,19761.56467107637,0.0,2358.96539742,2558.91345944
M0,2025-06-29,49205.962715644666,65.23761639558009,49271.200332040244,9.64839405392,2558.91345944,2804.7273378
M0,2025-06-30,48875.341677589684,534.379238010668,49409.72091560035,79.3365163064,2804.7273378,1921.59002499
M0,2025-07-01,48617.293427451885,24469.14488985512,73086.43831730701,4831.045263895199,1921.59002499,1200.0
M0,2025-07-02,53420.412019495896,4786.313467165767,58206.725486661664,896.9800501085199,1200.0,1200.0
M0,2025-07-03,55619.9638297287,756.6528910532334,56376.61672078194,129.6757639134703,1200.0,1357.99940879
M0,2025-07-04,25703.833099368105,849.2710081347334,26553.104107502837,181.63014363157,1357.99940879,1200.0
M0,2025-07-05,25702.403298434052,0.0,25702.403298434052,0.0,1200.0,1472.85916277
M0,2025-07-06,52520.75858137552,18849.86890140328,71370.6274827788,2771.12467178195,1472.85916277,1478.9889872
M0,2025-07-07,55087.3082472255,391.1100365047818,55478.41828373028,57.945070790680006,1478.9889872,1869.68647768
M0,2025-07-08,62081.54000041347,0.0,62081.54000041347,0.0,1869.68647768,4834.52260487
M0,2025-07-09,53661.85816635531,94.68653635650381,53756.54470271181,14.0453217172,4834.52260487,2867.00808469
M0,2025-07-10,54226.23170098367,261.9999418127565,54488.231642796425,38.8802487943,2867.00808469,2486.2518936
M0,2025-07-11,25302.855429967698,74.23903427970482,25377.094464247406,19.79741540983,2486.2518936,1794.62317887
M0,2025-07-12,26375.84027937936,0.0,26375.84027937936,0.0,1794.62317887,2097.72774393
M0,2025-07-13,53926.0550565192,333.12634562244216,54259.18140214164,49.4977601707,2097.72774393,2269.07240617
M0,2025-07-14,51823.29978952566,430.91419921522663,52254.21398874089,63.9065790658,2269.07240617,1936.40777792
M0,2025-07-15,62669.97522388975,0.0,62669.97522388975,0.0,1936.40777792,5629.16018111
M0,2025-07-16,55454.82908917594,0.0,55454.82908917594,0.0,5629.16018111,3753.81049222
M0,2025-07-17,56318.14917247702,0.0,56318.14917247702,0.0,3753.81049222,3721.18363925
M0,2025-07-18,27188.14425697172,0.0,27188.14425697172,0.0,3721.18363925,3239.90394049
M0,2025-07-19,27622.82525095561,0.0,27622.82525095561,0.0,3239.90394049,3174.24630127
M0,2025-07-20,54342.18018442784,0.0,54342.18018442784,0.0,3174.24630127,3986.73606538
M0,2025-07-21,55187.956318754674,0.0,55187.956318754674,0.0,3986.73606538,3597.14488354
M0,2025-07-22,54115.312094167166,2.2170888860091305,54117.529183053164,0.32889614093,3597.14488354,2725.9153052
M0,2025-07-23,54226.924156053436,0.0,54226.924156053436,0.0,2725.9153052,2678.13582562
M0,2025-07-24,53934.31551586992,0.0,53934.31551586992,0.0,2678.13582562,3058.13689308
M0,2025-07-25,25127.8145205139,0.0,25127.8145205139,0.0,3058.13689308,1969.12689737
M0,2025-07-26,26454.676377849562,0.0,26454.676377849562,0.0,1969.12689737,2629.87156929
M0,2025-07-27,52947.24088534899,1158.693687755745,54105.934573104736,233.05879316659997,2629.87156929,3268.93548717
M0,2025-07-28,53037.629391486254,0.0,53037.629391486254,0.0,3268.93548717,2521.36491063
M0,2025-07-29,53424.739680878716,306.51987801837475,53731.25955889709,45.32511010638,2521.36491063,2463.2838369
M0,2025-07-30,51730.49147132252,0.0,51730.49147132252,0.0,2463.2838369,2001.59248546
M0,2025-07-31,51750.65573331434,173.041293274674,51923.69702658903,25.41564721585,2001.59248546,1759.00271116
M0,2025-08-01,23210.47196313658,2784.3915117530237,25994.863474889607,592.23815640917,1759.00271116,1294.67079788
M0,2025-08-02,25646.83877781593,0.0,25646.83877781593,0.0,1294.67079788,2455.42850799
M0,2025-08-03,48557.81642738145,1631.0757957241215,50188.89222310558,331.3409072847,2455.42850799,1442.4048718
M0,2025-08-04,47571.515315127835,200.6053685505249,47772.12068367836,29.7943514853,1442.4048718,1809.78731818
M0,2025-08-05,46968.51348805692,0.0,46968.51348805692,0.0,1809.78731818,1692.12459624
M0,2025-08-06,46770.47736220206,7031.386183591832,53801.863545793894,1019.6357653468781,1692.12459624,1208.04338546
M0,2025-08-07,48375.58356662098,137.9902487983072,48513.57381541929,20.4233329088,1208.04338546,1658.33027359
M0,2025-08-08,23487.50657601739,0.0,23487.50657601739,0.0,1658.33027359,1697.40691015
M0,2025-08-09,22858.916217304723,0.0,22858.916217304723,0.0,1697.40691015,1421.24402931
M0,2025-08-10,46717.25291298564,0.0,46717.25291298564,0.0,1421.24402931,2290.82196704
M0,2025-08-11,47323.674164504664,667.7573024171894,47991.43146692185,99.05972287376,2290.82196704,1930.39864668
M0,2025-08-12,46003.33583907149,5827.310888392245,51830.64672746373,839.65018585596,1930.39864668,1645.37159343
M0,2025-08-13,47533.805019108535,512.846995179326,48046.65201428786,75.61288107920001,1645.37159343,2207.37437839
M0,2025-08-14,46710.74328282988,483.69360629108894,47194.43688912097,70.6976067103,2207.37437839,1777.6786903
M0,2025-08-15,23462.685995263037,0.0,23462.685995263037,0.0,1777.6786903,1685.83891854
M0,2025-08-16,23016.91739759952,0.0,23016.91739759952,0.0,1685.83891854,1537.97590108
M0,2025-08-17,45745.874560827164,252.14514930338416,45998.01971013055,37.47199067103,1537.97590108,2288.78227166
M0,2025-08-18,45547.296298642716,1268.11578647269,46815.4120851154,186.7486154489,2288.78227166,2156.52708597
M0,2025-08-19,45693.65332863689,991.0786360067941,46684.73196464368,146.9370787316,2156.52708597,1966.61445732
M0,2025-08-20,46039.385706223635,17592.059409815833,63631.44511603947,2768.3875798189,1966.61445732,1718.71422864
M0,2025-08-21,47859.87514561814,54.423190973551534,47914.29833659169,8.06926991972,1718.71422864,2071.45432356
M0,2025-08-22,22981.899218150087,1592.0899306483752,24573.989148798464,297.4170357406,2071.45432356,1370.03408112
M0,2025-08-23,23772.762114273777,0.0,23772.762114273777,0.0,1370.03408112,1737.29387432
M0,2025-08-24,47438.14604753623,0.0,47438.14604753623,0.0,1737.29387432,2022.68035568
M0,2025-08-25,46981.705276774024,8992.763565020823,55974.46884179485,1305.6205346709999,2022.68035568,1662.80147615
M0,2025-08-26,48342.68945717835,0.0,48342.68945717835,0.0,1662.80147615,2343.34106045
M0,2025-08-27,47625.32590688811,55.862689519658524,47681.18859640777,8.29528507916,2343.34106045,1925.31520433
M0,2025-08-28,48188.9621525673,706.6024706520659,48895.56462321937,103.5949770105,1925.31520433,1743.82846815
M0,2025-08-29,24507.0757138689,0.0,24507.0757138689,0.0,1743.82846815,1927.93145079
M0,2025-08-30,24519.09123064517,0.0,24519.09123064517,0.0,1927.93145079,1746.29897075
M0,2025-08-31,48236.28893784814,183.3926664064894,48419.68160425463,27.02836444817,1746.29897075,2538.02599364
M0,2025-09-01,48042.84241228466,0.0,48042.84241228466,0.0,2538.02599364,5797.24953463
M0,2025-09-02,39415.83844200985,0.0,39415.83844200985,0.0,5797.24953463,3489.36375267
M0,2025-09-03,39597.63815998391,0.0,39597.63815998391,0.0,3489.36375267,3069.16556265
M0,2025-09-04,40414.55263797934,0.0,40414.55263797934,0.0,3069.16556265,3198.80722543
M0,2025-09-05,17708.477815638307,0.0,17708.477815638307,0.0,3198.80722543,2496.04126581
M0,2025-09-06,18156.407693257468,0.0,18156.407693257468,0.0,2496.04126581,3017.18541904
M0,2025-09-07,38520.19108749131,0.0,38520.19108749131,0.0,3017.18541904,2805.97321421
M0,2025-09-08,31539.54899451601,60024.35486488494,91563.90385940095,10153.2322616382,2805.97321421,1200.0
M0,2025-09-09,38296.4916612623,2045.382615143729,40341.87427640603,293.28068658166995,1200.0,1346.5776059
M0,2025-09-10,37920.49690179948,27941.13760058782,65861.63450238729,4409.7301100497,1346.5776059,1444.24580761
M0,2025-09-11,39196.68339090355,0.0,39196.68339090355,0.0,1444.24580761,1744.21708137
M0,2025-09-12,16467.82141937465,5473.434440136536,21941.255859511184,1425.70189091188,1744.21708137,1247.72443508
M0,2025-09-13,17962.823785216548,0.0,17962.823785216548,0.0,1247.72443508,2053.66568596
M0,2025-09-14,39132.65306064529,6970.656185462631,46103.309246107914,1022.64395699035,2053.66568596,1348.41192759
M0,2025-09-15,32963.24029809174,35846.4394777006,68809.67977579235,6535.80246208722,1348.41192759,1200.0
M0,2025-09-16,36432.9558942992,21335.862941314033,57768.81883561322,3818.87318930907,1200.0,1200.0
M0,2025-09-17,37192.15618077027,19772.81908378855,56964.975264558816,3477.72747746983,1200.0,1200.0
M0,2025-09-18,37087.893138028725,16753.23498197852,53841.12812000724,2939.003293134119,1200.0,1247.47035883
M0,2025-09-19,15825.936400479079,11532.674131305062,27358.61053178414,2700.34049822912,1247.47035883,1200.0
M0,2025-09-20,16405.796599225676,8715.771376818358,25121.567976044033,1634.6929352555999,1200.0,1213.51654761
M0,2025-09-21,40511.382152042075,5277.185246497703,45788.56739853977,828.6310440244,1213.51654761,1745.78320261
M0,2025-09-22,41405.956391467895,4608.6759085102185,46014.63229997811,787.3200643565,1745.78320261,1317.27204873
M0,2025-09-23,42819.85108950056,3708.6629726650117,46528.514062165574,604.49522221107,1317.27204873,1709.57446664
M0,2025-09-24,43140.04221646795,0.0,43140.04221646795,0.0,1709.57446664,1681.5597045
M0,2025-09-25,42665.14058240343,474.1910834084583,43139.331665811886,94.8149202201,1681.5597045,1333.15136434
M0,2025-09-26,17952.44618643855,0.0,17952.44618643855,0.0,1333.15136434,1201.48713052
M0,2025-09-27,18537.13598062453,1489.092592386216,20026.228573010747,288.4343291676,1201.48713052,1200.0
M0,2025-09-28,44174.97248809278,39.56136916664419,44214.53385725942,5.86833333333,1200.0,2009.27479634
M0,2025-09-29,45669.53342447262,64.72416170930472,45734.25758618192,11.06794259379,2009.27479634,1901.24179127
M0,2025-09-30,45469.69865414461,212.22943497499998,45681.92808911961,31.41115,1901.24179127,1810.73185841
M0,2025-10-01,45387.38480957537,0.0,45387.38480957537,0.0,1810.73185841,3641.79455436
M0,2025-10-02,45283.37381922403,0.0,45283.37381922403,0.0,3641.79455436,4010.23139841
M0,2025-10-03,15781.475957806342,0.0,15781.475957806342,0.0,4010.23139841,2805.79203827
M0,2025-10-04,17135.95916134148,0.0,17135.95916134148,0.0,2805.79203827,2995.41430237
M0,2025-10-05,40294.04601985225,0.0,40294.04601985225,0.0,2995.41430237,3020.40920033
M0,2025-10-06,41591.802617057816,0.0,41591.802617057816,0.0,3020.40920033,2885.58085463
M0,2025-10-07,41579.05396098547,0.0,41579.05396098547,0.0,2885.58085463,3011.03915097
M0,2025-10-08,37117.96205399555,2508.093845273757,39626.05589926931,393.24098623555,3011.03915097,1373.63507093
M0,2025-10-09,39453.72479574093,896.0043560868185,40349.72915182775,132.4543739498,1373.63507093,1586.88410435
M0,2025-10-10,15616.30328411705,480.49126388044294,16096.794547997491,203.10198305095,1586.88410435,1200.0
M0,2025-10-11,17159.920117985577,0.0,17159.920117985577,0.0,1200.0,1867.34457925
M0,2025-10-12,39927.908617255365,98.0358077331772,40025.94442498854,20.9299333333,1867.34457925,1482.05427489
M0,2025-10-13,41978.48542464571,0.0,41978.48542464571,0.0,1482.05427489,2022.70094191
M0,2025-10-14,41230.740764098366,0.0,41230.740764098366,0.0,2022.70094191,1710.85463247
M0,2025-10-15,39724.661041830084,5885.245979053678,45609.907020883766,919.557283545915,1710.85463247,1391.52354252
M0,2025-10-16,41466.845832919054,10418.81872338009,51885.66455629915,1544.3220372475441,1391.52354252,1518.15305758
M0,2025-10-17,16841.904008960057,854.1413249288512,17696.045333888906,228.73444616064,1518.15305758,1234.80503167
M0,2025-10-18,17103.519616022066,0.0,17103.519616022066,0.0,1234.80503167,1506.18415562
M0,2025-10-19,43169.8399512923,5100.892428892517,48270.73238018482,735.19692579588,1506.18415562,1581.10657798
M0,2025-10-20,44267.23133124986,1576.51704909871,45843.74838034857,328.47085294344,1581.10657798,1293.11120758
M0,2025-10-21,45116.318636493976,0.0,45116.318636493976,0.0,1293.11120758,1567.38446971
M0,2025-10-22,46230.0365555784,0.0,46230.0365555784,0.0,1567.38446971,1515.06231652
M0,2025-10-23,46939.80921809925,0.0,46939.80921809925,0.0,1515.06231652,1841.97582971
M0,2025-10-24,17662.04305576706,0.0,17662.04305576706,0.0,1841.97582971,1506.51180709
M0,2025-10-25,17950.8174727547,0.0,17950.8174727547,0.0,1506.51180709,1523.3997758
M0,2025-10-26,46818.975333178656,0.0,46818.975333178656,0.0,1523.3997758,2319.56090073
M0,2025-10-27,46303.26197534343,24.893097107814278,46328.15507245124,5.31449553967,2319.56090073,1758.84091666
M0,2025-10-28,46218.9089239108,0.0,46218.9089239108,0.0,1758.84091666,1937.60843195
M0,2025-10-29,47059.24808169599,0.0,47059.24808169599,0.0,1937.60843195,1818.3997964
M0,2025-10-30,48573.97707186968,0.0,48573.97707186968,0.0,1818.3997964,1879.92039334
M0,2025-10-31,18838.958802112767,0.0,18838.958802112767,0.0,1879.92039334,2127.38869439
